  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
      50	 12:41:47	  10.000	  155.94	 1008.83	   23.29	  949.90	   1.186	-1431.63	 -814.99	 -913.18	 -703.03	 -527.39	 -453.67	 -398.48	 -359.70	 -324.36	 -292.57	 -257.72	 -242.33	 -218.55	 -197.35	 -169.56	 -143.90	 -121.31	  -99.75	  -77.84	  -57.21	  -40.14	  -23.52	   -7.61	    2.41	   17.45	-1433.06	   89.10	  321.50	  277.90	  214.43	  171.13	  142.44	  124.33	  109.44	   96.70	   86.02	   77.13	   68.99	   62.38	   56.57	   51.54	   47.35	   44.25	   42.21	   41.01	   40.96	   41.36	   42.20	   17.45	  326.65	  326.74	  326.48	  327.22	  326.88	  326.73	  326.62	  326.91	  327.15	  326.57	  326.62	  326.58	  327.37	  325.68	  326.81	  326.76	  325.65	  325.97	  326.51	  328.42	  327.17	  325.78	  325.25	  313.59	  290.49	  258.58	  243.21	  252.34	  278.68	  306.95	  321.51	  326.45	  327.69	  328.31	  326.68	  326.68	  327.56	  326.88	  325.74	  327.92	  325.32	  327.70	  326.19	  325.05	  325.51	  327.57	  326.20	  327.03	   11.81	   20.39	   21.18	   19.42	   18.23	   15.80	   19.62	   15.08	   15.64	   13.69	   13.70	   21.16	   -0.44	    0.01	   -0.00	   -0.09
      51	 12:42:33	   9.500	  156.13	 1008.81	   23.32	  949.57	   1.185	-1351.77	 -799.24	 -849.76	 -724.04	 -518.23	 -447.45	 -394.61	 -358.28	 -324.33	 -293.79	 -261.21	 -245.93	 -222.61	 -201.87	 -175.81	 -149.73	 -127.65	 -105.54	  -83.16	  -61.70	  -42.99	  -23.87	   -5.26	    8.16	   26.58	-1353.95	  121.21	  327.01	  275.48	  210.08	  166.31	  138.61	  120.67	  106.16	   93.78	   83.42	   74.92	   66.99	   60.79	   55.34	   50.70	   46.87	   44.22	   42.67	   41.98	   42.54	   43.53	   45.14	   26.58	  331.38	  331.10	  330.84	  331.63	  331.20	  331.03	  330.99	  331.35	  331.54	  330.87	  331.44	  330.73	  331.86	  330.28	  331.23	  330.95	  329.84	  330.36	  331.08	  332.82	  331.82	  330.31	  331.42	  325.80	  309.06	  274.73	  249.85	  253.14	  279.94	  311.16	  326.55	  331.09	  332.21	  332.81	  331.28	  331.44	  332.18	  331.35	  330.26	  332.59	  330.21	  332.50	  331.03	  329.87	  330.35	  332.10	  330.84	  331.48	   11.65	   20.22	   20.99	   19.24	   18.00	   16.28	   19.55	   15.48	   15.37	   13.37	   13.47	   20.96	   -0.43	    0.01	   -0.01	   -0.17
      52	 12:42:49	   9.000	  154.03	 1008.79	   23.32	  950.19	   1.185	-1201.17	 -765.71	 -760.88	 -617.04	 -521.73	 -452.97	 -374.76	 -334.28	 -307.80	 -281.30	 -249.35	 -238.10	 -216.45	 -197.28	 -172.40	 -146.87	 -126.08	 -104.72	  -82.58	  -61.50	  -42.89	  -22.70	   -2.95	   12.27	   32.94	-1206.89	  150.99	  322.30	  263.55	  199.04	  157.11	  130.71	  113.31	   99.62	   88.10	   78.31	   70.44	   63.02	   57.39	   52.41	   48.27	   44.86	   42.80	   41.70	   41.49	   42.49	   44.07	   46.23	   32.94	  326.67	  326.64	  326.29	  326.97	  326.92	  326.57	  326.49	  326.80	  327.01	  326.42	  326.68	  326.46	  327.34	  325.65	  326.61	  326.60	  325.39	  325.91	  326.42	  328.35	  327.18	  325.91	  327.25	  325.49	  317.04	  287.78	  256.41	  248.77	  269.74	  302.96	  321.04	  326.55	  327.79	  326.78	  326.84	  326.79	  327.57	  326.82	  325.87	  327.92	  325.50	  327.74	  326.26	  325.29	  325.59	  327.67	  326.33	  327.01	   12.37	   20.58	   21.35	   19.66	   18.46	   17.34	   20.15	   16.50	   15.97	   14.09	   14.18	   21.34	    0.35	    0.03	   -0.02	   -0.14
      53	 12:43:41	   8.000	  154.50	 1008.79	   23.32	  949.49	   1.185	 -875.42	 -639.12	 -638.50	 -541.18	 -463.04	 -404.31	 -363.84	 -337.91	 -304.61	 -269.32	 -234.76	 -224.38	 -206.01	 -190.04	 -167.84	 -146.15	 -123.90	 -103.80	  -82.65	  -62.32	  -43.77	  -23.25	   -2.34	   14.19	   36.53	 -878.80	  218.05	  316.46	  241.64	  177.08	  139.11	  113.59	   97.88	   85.37	   75.12	   66.45	   59.51	   52.88	   48.22	   44.14	   40.63	   38.07	   36.72	   36.47	   37.04	   38.87	   41.27	   44.30	   36.53	  324.81	  324.74	  324.86	  325.32	  325.16	  324.99	  324.83	  325.12	  325.19	  324.86	  324.91	  324.67	  325.90	  323.96	  324.88	  324.85	  324.05	  324.18	  324.67	  326.67	  325.44	  324.20	  325.72	  325.05	  324.35	  316.29	  287.22	  257.02	  253.55	  281.82	  309.33	  323.42	  325.85	  325.40	  325.05	  324.94	  325.85	  325.05	  324.16	  326.35	  323.50	  325.93	  324.32	  323.62	  323.77	  325.86	  324.55	  325.39	   11.81	   19.33	   20.13	   18.54	   17.50	   17.25	   19.13	   15.87	   15.16	   13.47	   13.62	   19.88	   -0.36	    0.06	    0.08	   -0.17
      54	 12:45:21	  14.500	  151.72	 1008.75	   23.35	  949.26	   1.185	 -535.47	 -390.19	 -505.79	 -469.36	 -423.87	 -383.06	 -352.30	 -332.12	 -308.65	 -283.71	 -253.22	 -241.16	 -222.41	 -209.16	 -195.60	 -182.16	 -170.83	 -160.89	 -150.82	 -140.73	 -135.79	 -127.28	 -116.88	 -109.47	  -80.71	 -534.77	  175.29	  323.49	  283.35	  226.28	  186.65	  156.55	  137.29	  120.68	  105.97	   93.06	   81.81	   70.82	   61.61	   52.92	   44.71	   37.07	   30.47	   24.70	   19.38	   14.86	   10.04	    5.36	  -80.71	  329.29	  329.19	  329.08	  329.47	  329.51	  329.31	  329.17	  329.33	  329.66	  328.88	  327.50	  325.55	  323.95	  318.09	  312.13	  303.56	  291.87	  279.91	  267.70	  253.82	  236.81	  225.11	  216.93	  209.06	  203.86	  199.48	  196.31	  197.53	  200.74	  204.73	  207.32	  214.35	  225.42	  231.21	  239.60	  247.89	  256.09	  262.67	  274.88	  290.71	  297.47	  307.99	  313.18	  316.93	  322.25	  326.78	  328.33	  329.20	  -12.22	   18.79	   18.21	   12.19	    3.28	  -13.64	   -7.50	  -16.88	  -17.72	  -18.74	  -15.72	   19.18	   -0.59	    0.07	    0.06	   -0.14
      55	 12:45:36	  14.750	  154.02	 1008.75	   23.37	  950.02	   1.185	 -477.65	 -347.77	 -449.53	 -434.17	 -402.81	 -371.10	 -349.64	 -334.00	 -313.29	 -291.92	 -261.92	 -251.76	 -234.13	 -221.64	 -207.83	 -194.06	 -181.61	 -170.06	 -160.11	 -150.11	 -142.88	 -133.00	 -120.98	 -112.96	  -84.61	 -476.69	  189.94	  324.10	  281.94	  225.13	  185.85	  155.59	  136.73	  120.17	  105.45	   92.59	   81.30	   70.15	   61.00	   52.21	   43.87	   36.19	   29.46	   23.58	   18.18	   13.47	    8.53	    2.96	  -84.61	  329.20	  329.22	  328.92	  329.33	  329.29	  328.97	  328.83	  329.28	  329.48	  328.36	  326.20	  323.63	  321.20	  314.71	  307.72	  298.84	  287.69	  275.40	  263.46	  249.36	  232.43	  220.38	  211.79	  202.94	  196.88	  192.08	  188.93	  190.05	  192.41	  194.89	  195.49	  201.86	  205.47	  212.25	  220.39	  228.60	  236.63	  242.62	  257.14	  276.32	  286.97	  300.41	  308.62	  315.12	  321.12	  326.52	  327.51	  329.07	  -16.29	   18.00	   16.82	    9.51	    0.27	  -16.04	  -10.57	  -20.09	  -20.52	  -22.54	  -18.66	   18.62	   -0.75	    0.03	   -0.04	   -0.38
      56	 12:45:52	  15.000	  150.36	 1008.77	   23.38	  949.79	   1.185	 -414.01	 -265.75	 -333.33	 -338.98	 -330.63	 -313.54	 -304.62	 -301.73	 -293.49	 -283.83	 -261.89	 -255.56	 -241.98	 -232.75	 -222.35	 -209.92	 -199.33	 -188.28	 -178.09	 -167.93	 -161.15	 -151.08	 -139.40	 -130.43	  -97.56	 -412.10	  212.98	  323.24	  275.98	  219.63	  180.48	  151.13	  132.18	  115.85	  101.26	   88.42	   77.17	   66.04	   56.70	   47.84	   39.37	   31.44	   24.59	   18.41	   12.66	    7.61	    2.19	   -3.85	  -97.56	  327.90	  327.80	  327.51	  328.01	  327.93	  327.78	  327.61	  327.96	  328.14	  327.24	  325.16	  322.66	  319.95	  312.83	  304.73	  294.65	  281.62	  269.23	  256.74	  243.16	  226.74	  215.09	  206.82	  198.87	  192.09	  186.22	  182.27	  183.07	  184.30	  188.93	  191.71	  199.23	  201.85	  210.22	  216.78	  225.77	  235.73	  242.58	  256.74	  275.87	  285.82	  298.55	  306.25	  312.31	  316.87	  321.82	  323.69	  327.96	  -23.02	   17.43	   16.01	    8.38	   -0.85	  -20.11	  -13.05	  -23.66	  -24.26	  -25.06	  -23.65	   18.02	   -0.56	    0.02	    0.07	   -0.02
      57	 12:46:28	  15.250	  151.36	 1008.74	   23.40	  950.10	   1.185	 -407.85	 -239.33	 -296.61	 -303.09	 -297.91	 -282.78	 -274.72	 -274.80	 -271.29	 -262.87	 -246.22	 -245.32	 -236.08	 -230.24	 -221.77	 -211.85	 -202.79	 -194.35	 -184.63	 -176.29	 -169.69	 -160.92	 -150.40	 -141.72	 -104.08	 -405.48	  220.62	  323.10	  273.47	  217.08	  177.55	  148.70	  129.82	  113.38	   98.73	   85.73	   74.28	   62.83	   53.46	   44.43	   35.64	   27.56	   20.37	   13.87	    7.83	    2.36	   -3.44	   -9.26	 -104.08	  327.76	  327.73	  327.53	  328.12	  328.00	  327.70	  327.61	  327.93	  328.04	  326.59	  323.44	  320.67	  317.41	  309.33	  300.68	  290.33	  277.93	  263.72	  250.20	  236.55	  219.12	  206.77	  197.83	  190.09	  184.62	  181.17	  178.39	  178.08	  179.18	  182.91	  185.70	  193.51	  198.16	  206.50	  216.00	  225.34	  236.37	  244.19	  261.34	  280.07	  289.30	  302.06	  309.39	  314.81	  319.87	  325.08	  326.20	  328.06	  -22.78	   17.67	   16.26	    8.23	   -1.53	  -21.00	  -14.42	  -23.87	  -25.49	  -27.16	  -25.28	   18.20	   -0.46	    0.01	   -0.05	   -0.25
      58	 12:46:40	  15.500	  155.37	 1008.69	   23.40	  949.90	   1.185	 -392.41	 -216.78	 -277.71	 -282.21	 -280.66	 -266.61	 -259.48	 -262.01	 -259.93	 -253.37	 -238.68	 -239.97	 -233.01	 -225.25	 -218.22	 -209.01	 -202.04	 -194.76	 -186.79	 -180.37	 -174.83	 -166.85	 -156.51	 -148.47	 -112.10	 -390.86	  228.47	  326.77	  275.97	  218.89	  179.18	  149.66	  130.80	  114.14	   99.20	   85.96	   74.34	   62.75	   52.97	   43.62	   34.55	   26.11	   18.65	   11.88	    5.48	   -0.25	   -6.46	  -13.32	 -112.10	  331.80	  331.78	  331.46	  331.99	  331.94	  331.63	  331.43	  331.89	  332.13	  330.67	  327.63	  323.39	  319.32	  311.36	  302.93	  292.11	  279.22	  265.47	  251.95	  238.68	  221.69	  209.33	  199.43	  190.13	  183.07	  177.76	  173.64	  174.54	  176.93	  181.47	  184.12	  192.00	  203.05	  212.65	  219.43	  228.52	  238.78	  246.55	  262.59	  282.12	  294.26	  308.35	  315.81	  320.65	  325.11	  329.37	  330.15	  332.39	  -24.07	   16.85	   14.85	    6.56	   -2.66	  -22.92	  -15.85	  -26.34	  -26.92	  -28.02	  -26.70	   17.59	   -0.66	    0.03	    0.04	   -0.05
      59	 12:46:51	  15.750	  152.25	 1008.65	   23.40	  949.83	   1.185	 -380.40	 -199.01	 -235.00	 -240.65	 -240.98	 -228.04	 -223.03	 -226.62	 -227.08	 -223.03	 -212.45	 -217.50	 -213.47	 -209.89	 -205.54	 -201.12	 -196.90	 -192.98	 -188.56	 -183.73	 -180.94	 -175.55	 -168.08	 -159.44	 -120.52	 -378.86	  237.72	  326.33	  272.97	  215.36	  175.92	  147.05	  127.74	  111.07	   96.11	   82.77	   70.99	   59.37	   49.38	   39.83	   30.52	   21.84	   14.11	    6.98	    0.21	   -5.88	  -12.56	  -19.24	 -120.52	  331.21	  331.19	  330.83	  331.56	  331.36	  331.20	  330.91	  331.23	  331.30	  329.58	  326.01	  321.62	  317.45	  308.01	  297.40	  284.91	  270.49	  255.24	  240.42	  225.65	  208.14	  196.98	  189.09	  179.83	  174.81	  170.90	  169.08	  171.89	  175.95	  183.70	  187.90	  197.02	  200.36	  209.69	  219.03	  227.57	  237.13	  246.61	  266.41	  287.09	  298.82	  311.14	  316.98	  320.83	  325.41	  329.33	  329.73	  330.59	  -23.26	   16.73	   15.41	    7.39	   -4.06	  -25.40	  -18.59	  -26.98	  -27.71	  -29.90	  -27.67	   16.92	   -0.20	    0.03	    0.04	   -0.01
      60	 12:47:06	  16.000	  152.55	 1008.69	   23.41	  949.78	   1.185	 -371.31	 -173.86	 -208.91	 -212.76	 -214.31	 -202.98	 -198.12	 -201.09	 -203.45	 -202.71	 -194.77	 -201.86	 -201.03	 -201.83	 -200.08	 -197.57	 -194.91	 -191.71	 -188.07	 -185.54	 -183.15	 -178.16	 -170.66	 -162.19	 -124.86	 -369.28	  242.40	  323.78	  269.42	  213.02	  172.97	  144.87	  125.70	  109.08	   94.12	   80.74	   68.90	   57.07	   47.07	   37.36	   27.95	   19.07	   11.17	    3.86	   -3.04	   -9.37	  -16.30	  -23.52	 -124.86	  329.50	  329.46	  329.05	  329.77	  329.65	  329.33	  329.17	  329.58	  329.66	  327.76	  323.24	  318.66	  313.31	  303.77	  294.38	  282.38	  269.02	  253.30	  239.27	  224.90	  207.34	  194.85	  186.74	  179.15	  173.73	  170.94	  168.16	  171.06	  174.80	  178.72	  181.39	  190.04	  203.51	  209.76	  222.08	  232.82	  244.47	  253.51	  269.38	  288.78	  298.93	  312.08	  317.63	  320.79	  324.29	  328.37	  328.79	  329.67	  -24.28	   16.38	   14.83	    6.86	   -4.13	  -26.96	  -19.09	  -29.32	  -31.48	  -30.20	  -27.57	   16.80	   -0.55	    0.02	   -0.08	   -0.25
      61	 12:47:51	  17.000	  151.08	 1008.76	   23.42	  949.65	   1.185	 -354.91	 -149.46	 -174.82	 -177.77	 -178.87	 -168.11	 -162.65	 -166.35	 -166.51	 -165.79	 -158.44	 -167.14	 -167.46	 -172.60	 -172.83	 -172.32	 -173.74	 -173.90	 -175.04	 -174.88	 -175.84	 -173.70	 -169.36	 -164.03	 -134.50	 -353.91	  246.15	  320.91	  266.97	  211.40	  171.24	  143.58	  124.15	  107.21	   91.99	   78.21	   65.97	   53.77	   43.28	   33.08	   23.16	   13.65	    5.30	   -2.71	  -10.25	  -17.12	  -24.70	  -32.73	 -134.50	  326.61	  326.60	  326.31	  326.84	  326.87	  326.56	  326.41	  326.80	  326.73	  325.09	  321.60	  317.92	  313.33	  303.86	  293.76	  281.27	  266.84	  250.16	  234.08	  216.47	  195.95	  180.65	  169.05	  158.71	  151.59	  147.82	  146.06	  148.84	  153.11	  160.89	  164.90	  173.73	  180.57	  193.60	  200.27	  212.35	  225.51	  235.51	  257.47	  279.61	  293.74	  308.79	  315.35	  319.56	  322.63	  325.85	  325.43	  325.74	  -25.24	   14.42	   13.86	    6.37	   -6.22	  -29.10	  -23.03	  -28.82	  -28.02	  -27.96	  -28.54	   13.95	   -0.14	    0.03	    0.02	    0.01
      62	 12:49:18	  16.000	  155.78	 1008.72	   23.54	  949.91	   1.184	 -377.21	 -175.89	 -216.75	 -220.12	 -223.00	 -210.34	 -205.06	 -209.25	 -209.74	 -207.78	 -199.19	 -208.80	 -202.99	 -205.00	 -199.27	 -196.15	 -194.41	 -192.39	 -190.13	 -187.93	 -183.93	 -178.74	 -171.60	 -163.54	 -124.80	 -375.18	  244.83	  328.10	  273.51	  216.23	  176.27	  147.02	  127.70	  110.83	   95.69	   82.14	   70.17	   58.07	   48.11	   38.29	   28.74	   19.68	   11.75	    4.32	   -2.68	   -9.08	  -16.06	  -23.58	 -124.80	  333.23	  333.24	  332.86	  333.28	  333.26	  333.11	  333.03	  333.15	  333.15	  330.79	  325.94	  320.71	  315.42	  307.44	  297.90	  285.78	  272.68	  258.60	  244.42	  229.78	  211.98	  199.26	  189.33	  179.12	  171.88	  167.63	  165.25	  168.36	  173.10	  180.96	  185.25	  195.12	  201.29	  213.15	  220.12	  230.81	  240.94	  250.30	  267.90	  286.72	  299.20	  313.44	  320.11	  324.28	  328.02	  331.63	  331.83	  332.63	  -23.08	   15.82	   14.89	    7.52	   -4.35	  -25.61	  -18.81	  -28.47	  -29.00	  -28.52	  -25.66	   16.07	   -0.46	    0.02	    0.03	   -0.05
      63	 12:50:11	  15.750	  152.72	 1008.64	   23.60	  949.48	   1.184	 -377.89	 -187.52	 -228.38	 -232.23	 -234.72	 -223.84	 -218.48	 -224.49	 -222.10	 -219.24	 -209.62	 -218.02	 -211.58	 -211.50	 -204.42	 -199.08	 -195.30	 -191.43	 -187.78	 -184.00	 -179.29	 -173.00	 -164.88	 -157.32	 -117.16	 -375.39	  239.53	  325.70	  271.88	  214.74	  175.16	  146.36	  127.19	  110.52	   95.61	   82.30	   70.56	   58.61	   48.98	   39.39	   30.09	   21.29	   13.69	    6.60	   -0.15	   -6.17	  -12.81	  -20.09	 -117.16	  330.83	  330.79	  330.31	  330.95	  330.89	  330.56	  330.63	  330.69	  330.97	  329.12	  325.63	  321.00	  317.23	  308.14	  298.59	  286.47	  272.79	  257.36	  241.92	  226.11	  208.15	  194.46	  184.24	  175.79	  171.42	  168.92	  166.58	  168.92	  171.81	  177.40	  180.54	  188.91	  198.18	  205.72	  215.79	  225.70	  235.65	  245.05	  264.54	  283.60	  294.96	  308.78	  315.01	  320.00	  324.92	  329.38	  329.69	  330.55	  -24.37	   16.36	   15.14	    6.94	   -3.34	  -23.91	  -16.86	  -26.88	  -28.00	  -29.03	  -27.56	   16.67	   -0.68	    0.05	    0.05	   -0.03
      64	 12:50:25	  15.500	  151.60	 1008.68	   23.63	  950.19	   1.184	 -383.20	 -203.46	 -245.57	 -250.55	 -249.71	 -238.89	 -231.28	 -236.73	 -234.67	 -231.56	 -221.15	 -229.32	 -222.69	 -220.45	 -212.10	 -206.20	 -201.31	 -196.13	 -189.84	 -183.72	 -177.18	 -170.32	 -160.96	 -152.27	 -112.58	 -381.74	  232.81	  323.84	  271.36	  214.95	  175.04	  146.57	  127.58	  111.04	   96.37	   83.25	   71.67	   60.03	   50.53	   41.21	   32.15	   23.64	   16.29	    9.50	    3.06	   -2.69	   -9.01	  -15.27	 -112.58	  329.21	  329.05	  328.68	  329.47	  329.28	  329.08	  328.98	  329.23	  329.41	  327.87	  324.45	  320.27	  316.77	  308.21	  298.66	  287.95	  275.26	  260.90	  246.99	  231.50	  213.51	  200.85	  191.48	  183.96	  178.11	  174.65	  170.86	  173.41	  176.69	  181.72	  185.83	  193.36	  203.83	  211.44	  223.67	  233.79	  243.04	  251.06	  268.28	  284.75	  295.30	  308.75	  315.45	  320.08	  324.53	  328.59	  328.50	  329.26	  -22.42	   17.32	   16.32	    8.49	   -2.05	  -23.11	  -15.35	  -25.52	  -26.34	  -27.03	  -24.31	   17.70	   -0.09	    0.07	    0.04	   -0.03
      65	 12:50:42	  15.250	  150.26	 1008.68	   23.64	  950.37	   1.184	 -392.90	 -240.18	 -297.74	 -302.69	 -298.91	 -284.21	 -271.53	 -273.12	 -264.20	 -256.58	 -240.28	 -240.63	 -232.41	 -226.39	 -214.79	 -205.88	 -197.16	 -189.85	 -183.25	 -175.02	 -167.15	 -158.23	 -147.52	 -138.84	 -104.17	 -391.18	  220.15	  320.26	  271.37	  215.49	  176.19	  147.52	  129.02	  112.72	   98.26	   85.39	   74.07	   62.69	   53.52	   44.49	   35.79	   27.59	   20.62	   14.22	    8.15	    2.79	   -3.03	   -9.15	 -104.17	  325.32	  325.18	  324.83	  325.26	  325.52	  325.06	  324.96	  325.16	  325.31	  323.38	  320.62	  316.87	  314.05	  306.22	  298.05	  287.86	  275.69	  263.23	  250.63	  235.85	  218.98	  205.92	  196.37	  186.85	  180.38	  175.45	  171.69	  172.09	  174.76	  178.74	  182.75	  190.84	  192.98	  204.87	  209.88	  219.27	  228.20	  236.51	  253.84	  274.45	  287.71	  301.85	  310.21	  314.92	  318.57	  322.52	  323.09	  324.81	  -21.79	   17.68	   16.42	    8.67	   -1.24	  -20.33	  -13.48	  -23.73	  -24.58	  -24.86	  -23.05	   18.15	    0.41	    0.08	    0.04	   -0.01
      66	 12:50:59	  15.000	  150.48	 1008.64	   23.66	  950.34	   1.184	 -411.37	 -257.82	 -317.36	 -321.53	 -316.91	 -299.92	 -287.59	 -289.92	 -280.16	 -269.79	 -253.81	 -251.55	 -239.30	 -229.50	 -215.38	 -205.68	 -196.00	 -186.03	 -177.85	 -168.03	 -160.79	 -152.05	 -140.63	 -132.18	  -98.01	 -410.02	  215.88	  321.69	  273.20	  216.62	  177.08	  148.49	  129.55	  113.21	   98.73	   85.91	   74.67	   63.35	   54.29	   45.35	   36.77	   28.78	   21.96	   15.74	    9.97	    4.82	   -0.71	   -6.46	  -98.01	  326.97	  326.81	  326.44	  326.68	  327.08	  326.66	  326.52	  326.70	  327.11	  325.75	  323.48	  320.17	  318.10	  310.82	  303.71	  294.70	  282.75	  269.49	  255.51	  241.93	  225.59	  213.57	  204.19	  196.49	  189.66	  186.06	  182.08	  182.43	  183.93	  187.25	  188.84	  195.47	  199.52	  208.82	  215.70	  224.29	  231.37	  237.57	  252.25	  270.32	  282.35	  296.03	  304.27	  310.21	  316.71	  322.30	  324.52	  326.34	  -22.44	   17.28	   15.86	    8.20	   -0.98	  -18.53	  -12.27	  -22.76	  -25.06	  -26.88	  -25.09	   17.76	   -0.97	    0.05	   -0.05	   -0.18
      67	 12:51:11	  14.750	  153.07	 1008.67	   23.67	  950.05	   1.184	 -445.97	 -287.59	 -370.05	 -370.42	 -358.72	 -337.69	 -321.49	 -317.09	 -302.72	 -286.71	 -268.15	 -261.57	 -245.46	 -232.87	 -217.19	 -203.36	 -192.55	 -182.41	 -174.13	 -163.72	 -155.86	 -145.26	 -133.82	 -124.83	  -90.92	 -444.54	  204.90	  322.72	  276.88	  220.40	  181.04	  151.34	  132.62	  116.24	  101.73	   89.00	   77.76	   66.71	   57.61	   48.83	   40.45	   32.64	   25.99	   20.05	   14.51	    9.72	    4.58	   -0.99	  -90.92	  328.26	  327.95	  327.67	  327.67	  328.31	  327.93	  327.78	  327.99	  328.34	  327.06	  325.25	  322.46	  320.47	  313.74	  306.45	  296.97	  285.15	  273.90	  261.83	  248.12	  232.02	  219.41	  210.18	  200.81	  193.60	  188.04	  185.03	  184.51	  186.14	  189.93	  192.30	  201.03	  203.07	  214.52	  217.75	  227.51	  236.37	  244.80	  261.90	  279.10	  292.01	  304.57	  310.31	  314.11	  318.59	  323.80	  325.61	  328.40	  -19.61	   17.99	   16.80	    9.30	   -0.03	  -17.66	  -10.99	  -22.59	  -24.78	  -24.61	  -22.39	   18.63	   -0.81	    0.06	   -0.02	    0.00
      68	 12:51:24	  14.500	  150.98	 1008.65	   23.68	  950.03	   1.184	 -496.97	 -376.27	 -466.04	 -450.70	 -415.17	 -381.29	 -352.27	 -336.94	 -312.29	 -288.02	 -263.29	 -252.43	 -234.65	 -219.87	 -202.69	 -189.55	 -177.18	 -165.54	 -156.19	 -144.64	 -136.47	 -126.86	 -115.20	 -107.30	  -78.87	 -496.67	  180.01	  321.91	  280.73	  224.34	  184.68	  154.78	  135.86	  119.47	  104.95	   92.28	   81.04	   69.98	   61.12	   52.52	   44.38	   36.73	   30.36	   24.67	   19.42	   14.95	   10.23	    5.67	  -78.87	  327.45	  327.29	  327.04	  326.96	  327.76	  327.18	  327.01	  327.38	  327.70	  326.93	  325.88	  323.44	  321.95	  315.43	  309.14	  300.66	  290.21	  279.03	  267.36	  254.43	  237.75	  224.32	  214.30	  206.30	  198.49	  192.36	  188.02	  188.14	  189.42	  193.14	  194.40	  201.44	  215.85	  221.69	  230.11	  237.90	  245.89	  253.90	  270.86	  287.34	  296.32	  308.12	  314.14	  317.39	  320.60	  324.98	  325.69	  327.56	  -12.38	   18.45	   17.68	   10.87	    1.64	  -14.63	   -9.13	  -17.29	  -17.49	  -18.36	  -15.05	   19.06	   -0.33	    0.01	   -0.04	   -0.22
      69	 12:51:38	  14.250	  153.22	 1008.68	   23.70	  949.56	   1.184	 -680.17	 -453.97	 -652.35	 -526.61	 -467.67	 -416.58	 -372.40	 -341.34	 -302.48	 -270.93	 -238.72	 -225.59	 -205.99	 -192.54	 -175.51	 -162.90	 -151.73	 -140.76	 -133.54	 -124.76	 -118.88	 -111.30	 -101.87	  -96.08	  -73.58	 -680.00	  138.61	  320.34	  287.86	  231.40	  191.06	  160.41	  140.83	  123.98	  109.20	   96.28	   84.90	   73.62	   64.76	   56.00	   47.82	   40.14	   33.71	   28.01	   22.76	   18.28	   13.56	    8.67	  -73.58	  328.04	  327.89	  327.59	  327.45	  328.33	  327.84	  327.70	  328.11	  328.26	  327.58	  327.05	  325.30	  324.83	  320.34	  316.07	  308.53	  297.11	  283.99	  269.77	  253.80	  237.43	  228.18	  224.10	  222.49	  222.27	  222.99	  224.04	  227.93	  231.19	  235.67	  237.93	  244.11	  257.26	  246.82	  269.20	  275.87	  281.19	  285.56	  294.92	  306.10	  310.18	  317.72	  320.39	  321.58	  323.70	  326.90	  327.31	  328.16	   -3.01	   19.30	   19.25	   13.89	    6.17	   -8.89	   -3.88	  -11.29	  -11.03	  -10.57	   -5.64	   19.80	   -1.03	    0.07	    0.00	    0.02
