xflr5 v6.61

Plane name :        3d Wing analyses
Polar name :        T1-22.6 m/s-VLM1-Inviscid
Freestream speed :  22.553 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.249333   0.003866   0.000000   0.003866  -0.000000  -0.000000   0.026038   0.000000   0.000000   22.5530     0.0169
   -4.500     0.000  -0.214325   0.002860   0.000000   0.002860  -0.000000  -0.000000   0.017792  -0.000000  -0.000000   22.5530     0.0134
   -4.000     0.000  -0.179273   0.002005   0.000000   0.002005  -0.000000  -0.000000   0.009526   0.000000   0.000000   22.5530     0.0086
   -3.500     0.000  -0.144183   0.001302   0.000000   0.001302   0.000000  -0.000000   0.001243   0.000000   0.000000   22.5530     0.0014
   -3.000     0.000  -0.109061   0.000752   0.000000   0.000752   0.000000   0.000000  -0.007056  -0.000000  -0.000000   22.5530    -0.0103
   -2.500     0.000  -0.073915   0.000355   0.000000   0.000355   0.000000  -0.000000  -0.015368  -0.000000  -0.000000   22.5530    -0.0333
   -2.000     0.000  -0.038751   0.000112   0.000000   0.000112   0.000000   0.000000  -0.023690   0.000000   0.000000   22.5530    -0.0979
   -1.500     0.000  -0.003576   0.000024   0.000000   0.000024   0.000000   0.000000  -0.032020  -0.000000  -0.000000   22.5530    -1.4340
   -1.000     0.000   0.031603   0.000089   0.000000   0.000089   0.000000   0.000000  -0.040355   0.000000   0.000000   22.5530     0.2044
   -0.500     0.000   0.066781   0.000308   0.000000   0.000308   0.000000   0.000000  -0.048693   0.000000   0.000000   22.5530     0.1167
    0.000     0.000   0.101950   0.000682   0.000000   0.000682   0.000000   0.000000  -0.057031  -0.000000  -0.000000   22.5530     0.0895
    0.500     0.000   0.137103   0.001210   0.000000   0.001210   0.000000   0.000000  -0.065367  -0.000000  -0.000000   22.5530     0.0763
    1.000     0.000   0.172233   0.001891   0.000000   0.001891   0.000000   0.000000  -0.073698   0.000000   0.000000   22.5530     0.0684
    1.500     0.000   0.207335   0.002726   0.000000   0.002726   0.000000   0.000000  -0.082021  -0.000000  -0.000000   22.5530     0.0633
    2.000     0.000   0.242401   0.003714   0.000000   0.003714   0.000000   0.000000  -0.090334   0.000000   0.000000   22.5530     0.0596
    2.500     0.000   0.277424   0.004853   0.000000   0.004853   0.000000   0.000000  -0.098635  -0.000000  -0.000000   22.5530     0.0568
    3.000     0.000   0.312399   0.006144   0.000000   0.006144   0.000000   0.000000  -0.106921   0.000000   0.000000   22.5530     0.0547
    3.500     0.000   0.347318   0.007586   0.000000   0.007586   0.000000   0.000000  -0.115189  -0.000000  -0.000000   22.5530     0.0530
    4.000     0.000   0.382174   0.009176   0.000000   0.009176   0.000000   0.000000  -0.123437  -0.000000  -0.000000   22.5530     0.0517
    4.500     0.000   0.416962   0.010916   0.000000   0.010916   0.000000   0.000000  -0.131662   0.000000   0.000000   22.5530     0.0505
    5.000     0.000   0.451674   0.012802   0.000000   0.012802  -0.000000   0.000000  -0.139863   0.000000   0.000000   22.5530     0.0496
    5.500     0.000   0.486305   0.014834   0.000000   0.014834  -0.000000   0.000000  -0.148035  -0.000000  -0.000000   22.5530     0.0487
    6.000     0.000   0.520847   0.017011   0.000000   0.017011  -0.000000   0.000000  -0.156178  -0.000000  -0.000000   22.5530     0.0480
    6.500     0.000   0.555294   0.019330   0.000000   0.019330  -0.000000   0.000000  -0.164288   0.000000   0.000000   22.5530     0.0474
    7.000     0.000   0.589640   0.021791   0.000000   0.021791  -0.000000   0.000000  -0.172363   0.000000   0.000000   22.5530     0.0469
    7.500     0.000   0.623879   0.024390   0.000000   0.024390  -0.000000   0.000000  -0.180400  -0.000000  -0.000000   22.5530     0.0464
    8.000     0.000   0.658004   0.027128   0.000000   0.027128  -0.000000   0.000000  -0.188397  -0.000000  -0.000000   22.5530     0.0460
    8.500     0.000   0.692009   0.030000   0.000000   0.030000  -0.000000   0.000000  -0.196352   0.000000   0.000000   22.5530     0.0456
    9.000     0.000   0.725888   0.033006   0.000000   0.033006  -0.000000   0.000000  -0.204263   0.000000   0.000000   22.5530     0.0453
    9.500     0.000   0.759635   0.036144   0.000000   0.036144  -0.000000   0.000000  -0.212126   0.000000   0.000000   22.5530     0.0450
   10.000     0.000   0.793244   0.039410   0.000000   0.039410  -0.000000   0.000000  -0.219939   0.000000   0.000000   22.5530     0.0447
   10.500     0.000   0.826708   0.042803   0.000000   0.042803  -0.000000  -0.000000  -0.227700   0.000000   0.000000   22.5530     0.0445
   11.000     0.000   0.860022   0.046319   0.000000   0.046319  -0.000000   0.000000  -0.235407   0.000000   0.000000   22.5530     0.0443
   11.500     0.000   0.893180   0.049957   0.000000   0.049957  -0.000000   0.000000  -0.243057   0.000000   0.000000   22.5530     0.0441
   12.000     0.000   0.926176   0.053714   0.000000   0.053714  -0.000000   0.000000  -0.250649  -0.000000  -0.000000   22.5530     0.0439
   12.500     0.000   0.959005   0.057587   0.000000   0.057587  -0.000000   0.000000  -0.258178   0.000000   0.000000   22.5530     0.0437
   13.000     0.000   0.991661   0.061572   0.000000   0.061572  -0.000000   0.000000  -0.265645   0.000000   0.000000   22.5530     0.0436
   13.500     0.000   1.024138   0.065668   0.000000   0.065668  -0.000000   0.000000  -0.273045  -0.000000  -0.000000   22.5530     0.0434
   14.000     0.000   1.056431   0.069871   0.000000   0.069871  -0.000000   0.000000  -0.280377   0.000000   0.000000   22.5530     0.0433
   14.500     0.000   1.088535   0.074178   0.000000   0.074178  -0.000000   0.000000  -0.287639  -0.000000  -0.000000   22.5530     0.0432
   15.000     0.000   1.120444   0.078585   0.000000   0.078585  -0.000000   0.000000  -0.294828   0.000000   0.000000   22.5530     0.0431
