xflr5 v6.61

Plane name :        3d Wing analyses
Polar name :        T1-22.6 m/s-VLM1
Freestream speed :  22.553 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.249333   0.003866   0.015685   0.019551  -0.000000  -0.000000   0.026379  -0.000000   0.000000   22.5530     0.0169
   -4.500     0.000  -0.214325   0.002860   0.014101   0.016961  -0.000000  -0.000000   0.018069  -0.000000  -0.000000   22.5530     0.0134
   -4.000     0.000  -0.179273   0.002005   0.012444   0.014449  -0.000000  -0.000000   0.009743  -0.000000   0.000000   22.5530     0.0086
   -3.500     0.000  -0.144183   0.001302   0.010825   0.012127   0.000000  -0.000000   0.001408   0.000000   0.000000   22.5530     0.0014
   -3.000     0.000  -0.109061   0.000752   0.009425   0.010177   0.000000   0.000000  -0.006933   0.000000  -0.000000   22.5530    -0.0103
   -2.500     0.000  -0.073915   0.000355   0.009280   0.009636   0.000000  -0.000000  -0.015267   0.000000  -0.000000   22.5530    -0.0333
   -2.000     0.000  -0.038751   0.000112   0.009315   0.009427   0.000000   0.000000  -0.023609  -0.000000   0.000000   22.5530    -0.0979
   -1.500     0.000  -0.003576   0.000024   0.009438   0.009462   0.000000   0.000000  -0.031959  -0.000000  -0.000000   22.5530    -1.4340
   -1.000     0.000   0.031603   0.000089   0.009550   0.009638   0.000000   0.000000  -0.040314  -0.000000   0.000000   22.5530     0.2044
   -0.500     0.000   0.066781   0.000308   0.009683   0.009992   0.000000   0.000000  -0.048672   0.000000   0.000000   22.5530     0.1167
    0.000     0.000   0.101950   0.000682   0.009770   0.010452   0.000000   0.000000  -0.057032   0.000000  -0.000000   22.5530     0.0895
    0.500     0.000   0.137103   0.001210   0.009841   0.011051   0.000000   0.000000  -0.065389   0.000000  -0.000000   22.5530     0.0763
    1.000     0.000   0.172233   0.001891   0.009879   0.011771   0.000000   0.000000  -0.073741  -0.000000   0.000000   22.5530     0.0684
    1.500     0.000   0.207335   0.002726   0.009894   0.012620   0.000000   0.000000  -0.082086  -0.000000  -0.000000   22.5530     0.0633
    2.000     0.000   0.242401   0.003714   0.009892   0.013605   0.000000   0.000000  -0.090421   0.000000   0.000000   22.5530     0.0596
    2.500     0.000   0.277424   0.004853   0.009852   0.014705   0.000000   0.000000  -0.098743  -0.000000  -0.000000   22.5530     0.0568
    3.000     0.000   0.312399   0.006144   0.009806   0.015950   0.000000   0.000000  -0.107049   0.000000   0.000000   22.5530     0.0547
    3.500     0.000   0.347318   0.007586   0.009760   0.017346   0.000000   0.000000  -0.115338  -0.000000  -0.000000   22.5530     0.0530
    4.000     0.000   0.382174   0.009176   0.009675   0.018851   0.000000   0.000000  -0.123606  -0.000000  -0.000000   22.5530     0.0517
    4.500     0.000   0.416962   0.010916   0.009600   0.020516   0.000000   0.000000  -0.131851   0.000000   0.000000   22.5530     0.0505
    5.000     0.000   0.451674   0.012802   0.009549   0.022352  -0.000000   0.000000  -0.140071  -0.000000   0.000000   22.5530     0.0496
    5.500     0.000   0.486305   0.014834   0.009523   0.024358  -0.000000   0.000000  -0.148264   0.000000  -0.000000   22.5530     0.0487
    6.000     0.000   0.520847   0.017011   0.009534   0.026544  -0.000000   0.000000  -0.156427   0.000000  -0.000000   22.5530     0.0480
    6.500     0.000   0.555294   0.019330   0.009578   0.028908  -0.000000   0.000000  -0.164559   0.000000   0.000000   22.5530     0.0474
    7.000     0.000   0.589640   0.021791   0.009649   0.031440  -0.000000   0.000000  -0.172657   0.000000   0.000000   22.5530     0.0469
    7.500     0.000   0.623879   0.024390   0.009761   0.034152  -0.000000   0.000000  -0.180719   0.000000  -0.000000   22.5530     0.0464
    8.000     0.000   0.658004   0.027128   0.009919   0.037047  -0.000000   0.000000  -0.188743  -0.000000  -0.000000   22.5530     0.0460
    8.500     0.000   0.692009   0.030000   0.010204   0.040205  -0.000000   0.000000  -0.196730   0.000000   0.000000   22.5530     0.0456
    9.000     0.000   0.725888   0.033006   0.010735   0.043742  -0.000000   0.000000  -0.204683   0.000000   0.000000   22.5530     0.0453
    9.500     0.000   0.759635   0.036144   0.011407   0.047551  -0.000000   0.000000  -0.212597   0.000000   0.000000   22.5530     0.0450
   10.000     0.000   0.793244   0.039410   0.012242   0.051652  -0.000000   0.000000  -0.220471   0.000000   0.000000   22.5530     0.0447
   10.500     0.000   0.826708   0.042803   0.013728   0.056531  -0.000000  -0.000000  -0.228326   0.000000   0.000000   22.5530     0.0445
   11.000     0.000   0.860022   0.046319   0.016055   0.062374  -0.000000   0.000000  -0.236174   0.000000   0.000000   22.5530     0.0443
   11.500     0.000   0.893180   0.049957   0.018499   0.068456  -0.000000   0.000000  -0.243980  -0.000000   0.000000   22.5530     0.0441
   12.000     0.000   0.926176   0.053714   0.022167   0.075881  -0.000000   0.000000  -0.251802  -0.000000  -0.000000   22.5530     0.0439


