xflr5 v6.61
SD6060-104-88
T1_Re0.231_M0.00_N9.0
Alpha =   0.0,  Re =   231000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.262     0.170     0.859     0.911
 0.9966    0.251     0.144     0.865     0.925
 0.9866    0.225     0.143     0.880     0.926
 0.9703    0.185     0.133     0.903     0.931
 0.9483    0.146     0.115     0.924     0.941
 0.9210    0.101     0.089     0.948     0.954
 0.8891    0.053     0.054     0.973     0.972
 0.8530    0.004    -0.006     0.998     1.003
 0.8135   -0.047    -0.145     1.023     1.070
 0.7710   -0.098    -0.246     1.048     1.116
 0.7260   -0.149    -0.256     1.072     1.121
 0.6792   -0.200    -0.268     1.095     1.126
 0.6309   -0.247    -0.284     1.117     1.133
 0.5817   -0.295    -0.309     1.138     1.144
 0.5322   -0.347    -0.344     1.161     1.159
 0.4828   -0.389    -0.385     1.179     1.177
 0.4339   -0.418    -0.420     1.191     1.192
 0.3857   -0.439    -0.445     1.199     1.202
 0.3386   -0.453    -0.462     1.205     1.209
 0.2932   -0.462    -0.475     1.209     1.214
 0.2498   -0.470    -0.484     1.212     1.218
 0.2088   -0.472    -0.488     1.213     1.220
 0.1708   -0.468    -0.485     1.212     1.219
 0.1359   -0.454    -0.474     1.206     1.214
 0.1046   -0.428    -0.449     1.195     1.204
 0.0770   -0.380    -0.404     1.175     1.185
 0.0534   -0.294    -0.317     1.138     1.148
 0.0340   -0.162    -0.197     1.078     1.094
 0.0188    0.054     0.030     0.973     0.985
 0.0079    0.374     0.325     0.791     0.822
 0.0015    0.793     0.763     0.454     0.486
 0.0003    0.641     0.714    -0.599    -0.535
 0.0050   -0.001     0.070    -1.000    -0.965
 0.0152   -0.132    -0.085    -1.064    -1.042
 0.0307   -0.197    -0.159    -1.094    -1.077
 0.0511   -0.209    -0.181    -1.100    -1.087
 0.0765   -0.205    -0.182    -1.098    -1.087
 0.1065   -0.193    -0.174    -1.092    -1.083
 0.1408   -0.181    -0.164    -1.087    -1.079
 0.1791   -0.168    -0.153    -1.081    -1.074
 0.2210   -0.156    -0.142    -1.075    -1.069
 0.2659   -0.147    -0.133    -1.071    -1.064
 0.3135   -0.138    -0.124    -1.067    -1.060
 0.3631   -0.129    -0.115    -1.063    -1.056
 0.4141   -0.121    -0.105    -1.059    -1.051
 0.4661   -0.112    -0.094    -1.054    -1.046
 0.5185   -0.100    -0.081    -1.049    -1.040
 0.5707   -0.088    -0.064    -1.043    -1.032
 0.6222   -0.070    -0.043    -1.035    -1.021
 0.6725   -0.049    -0.019    -1.024    -1.010
 0.7212   -0.024     0.002    -1.012    -0.999
 0.7676    0.005     0.017    -0.997    -0.992
 0.8113    0.033     0.026    -0.983    -0.987
 0.8518    0.063     0.032    -0.968    -0.984
 0.8884    0.095     0.036    -0.951    -0.982
 0.9207    0.128     0.039    -0.934    -0.980
 0.9482    0.163     0.041    -0.915    -0.979
 0.9703    0.196     0.048    -0.897    -0.975
 0.9866    0.227     0.119    -0.879    -0.939
 0.9966    0.253     0.158    -0.864    -0.917
 1.0000    0.262     0.170    -0.859    -0.911


