xflr5 v6.61
SD6060-104-88
T1_Re0.231_M0.00_N9.0
Alpha =   1.5,  Re =   231000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.246     0.113     0.868     0.942
 0.9902    0.240     0.064     0.872     0.967
 0.9703    0.182     0.062     0.904     0.969
 0.9483    0.138     0.046     0.928     0.977
 0.9258    0.098     0.027     0.950     0.987
 0.9031    0.061     0.005     0.969     0.997
 0.8803    0.026    -0.016     0.987     1.008
 0.8575   -0.007    -0.037     1.003     1.018
 0.8346   -0.039    -0.058     1.019     1.029
 0.8117   -0.071    -0.083     1.035     1.041
 0.7888   -0.101    -0.123     1.049     1.060
 0.7660   -0.130    -0.205     1.063     1.098
 0.7432   -0.159    -0.337     1.077     1.156
 0.7204   -0.187    -0.366     1.089     1.169
 0.6976   -0.215    -0.373     1.102     1.172
 0.6748   -0.241    -0.380     1.114     1.175
 0.6521   -0.267    -0.387     1.125     1.178
 0.6293   -0.292    -0.395     1.137     1.181
 0.6065   -0.317    -0.404     1.148     1.185
 0.5837   -0.343    -0.414     1.159     1.189
 0.5610   -0.371    -0.427     1.171     1.194
 0.5383   -0.398    -0.441     1.183     1.200
 0.5156   -0.424    -0.458     1.193     1.208
 0.4930   -0.446    -0.478     1.203     1.216
 0.4704   -0.467    -0.498     1.211     1.224
 0.4477   -0.485    -0.517     1.218     1.232
 0.4251   -0.501    -0.536     1.225     1.239
 0.4024   -0.515    -0.553     1.231     1.246
 0.3797   -0.529    -0.569     1.236     1.252
 0.3571   -0.541    -0.584     1.241     1.258
 0.3345   -0.553    -0.598     1.246     1.264
 0.3118   -0.564    -0.611     1.251     1.269
 0.2892   -0.575    -0.625     1.255     1.275
 0.2667   -0.587    -0.638     1.260     1.280
 0.2442   -0.598    -0.652     1.264     1.285
 0.2219   -0.609    -0.665     1.268     1.290
 0.1996   -0.619    -0.677     1.272     1.295
 0.1775   -0.627    -0.689     1.276     1.300
 0.1555   -0.635    -0.700     1.279     1.304
 0.1338   -0.640    -0.710     1.281     1.308
 0.1124   -0.642    -0.717     1.281     1.310
 0.0915   -0.638    -0.719     1.280     1.311
 0.0713   -0.622    -0.710     1.273     1.308
 0.0522   -0.581    -0.678     1.258     1.295
 0.0346   -0.504    -0.622     1.226     1.274
 0.0207   -0.385    -0.507     1.177     1.228
 0.0112   -0.134    -0.286     1.065     1.134
 0.0055   -0.000    -0.182     1.000     1.087
 0.0024    0.248     0.066     0.867     0.966
 0.0007    0.610     0.434     0.625     0.753
 0.0001    0.913     0.796     0.296     0.451
 0.0006    0.963     0.999    -0.193    -0.026
 0.0023    0.737     0.852    -0.513    -0.385
 0.0057    0.557     0.669    -0.666    -0.576
 0.0122    0.327     0.447    -0.820    -0.744
 0.0216    0.190     0.288    -0.900    -0.844
 0.0358    0.091     0.180    -0.954    -0.906
 0.0557    0.031     0.103    -0.985    -0.947
 0.0763    0.000     0.065    -1.000    -0.967
 0.0983   -0.017     0.041    -1.009    -0.979
 0.1205   -0.028     0.026    -1.014    -0.987
 0.1429   -0.035     0.015    -1.017    -0.992
 0.1656   -0.040     0.008    -1.020    -0.996
 0.1883   -0.043     0.002    -1.021    -0.999
 0.2111   -0.045    -0.002    -1.022    -1.001
 0.2340   -0.047    -0.005    -1.023    -1.002
 0.2570   -0.049    -0.007    -1.024    -1.004
 0.2799   -0.050    -0.009    -1.025    -1.005
 0.3029   -0.051    -0.011    -1.025    -1.005
 0.3259   -0.051    -0.012    -1.025    -1.006
 0.3489   -0.052    -0.012    -1.026    -1.006
 0.3720   -0.052    -0.012    -1.026    -1.006
 0.3950   -0.052    -0.012    -1.025    -1.006
 0.4180   -0.051    -0.011    -1.025    -1.006
 0.4410   -0.051    -0.010    -1.025    -1.005
 0.4641   -0.050    -0.008    -1.025    -1.004
 0.4871   -0.048    -0.006    -1.024    -1.003
 0.5101   -0.045    -0.003    -1.022    -1.001
 0.5331   -0.043     0.001    -1.021    -0.999
 0.5562   -0.040     0.006    -1.020    -0.997
 0.5792   -0.036     0.012    -1.018    -0.994
 0.6022   -0.031     0.019    -1.015    -0.990
 0.6252   -0.025     0.027    -1.012    -0.986
 0.6482   -0.018     0.037    -1.009    -0.982
 0.6712   -0.011     0.047    -1.005    -0.976
 0.6942   -0.002     0.058    -1.001    -0.971
 0.7172    0.009     0.069    -0.996    -0.965
 0.7403    0.020     0.079    -0.990    -0.960
 0.7633    0.032     0.087    -0.984    -0.955
 0.7864    0.044     0.094    -0.978    -0.952
 0.8095    0.057     0.099    -0.971    -0.949
 0.8327    0.071     0.104    -0.964    -0.947
 0.8558    0.086     0.107    -0.956    -0.945
 0.8789    0.105     0.109    -0.946    -0.944
 0.9020    0.124     0.110    -0.936    -0.943
 0.9249    0.146     0.112    -0.924    -0.943
 0.9477    0.173     0.112    -0.910    -0.942
 0.9700    0.205     0.113    -0.892    -0.942
 0.9901    0.249     0.114    -0.867    -0.941
 1.0000    0.246     0.113    -0.868    -0.942


