xflr5 v6.61
SD6060-104-88
T1_Re0.231_M0.00_N9.0
Alpha =   2.0,  Re =   231000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.247     0.125     0.868     0.935
 0.9902    0.240     0.083     0.872     0.958
 0.9703    0.181     0.074     0.905     0.962
 0.9483    0.136     0.055     0.930     0.972
 0.9258    0.095     0.032     0.952     0.984
 0.9031    0.057     0.008     0.971     0.996
 0.8803    0.021    -0.016     0.989     1.008
 0.8575   -0.012    -0.039     1.006     1.019
 0.8346   -0.046    -0.062     1.023     1.030
 0.8117   -0.078    -0.084     1.038     1.041
 0.7888   -0.109    -0.109     1.053     1.053
 0.7660   -0.139    -0.151     1.067     1.073
 0.7432   -0.169    -0.233     1.081     1.111
 0.7204   -0.198    -0.369     1.094     1.170
 0.6976   -0.226    -0.394     1.107     1.181
 0.6748   -0.254    -0.402     1.120     1.184
 0.6521   -0.280    -0.409     1.131     1.187
 0.6293   -0.306    -0.417     1.143     1.190
 0.6065   -0.333    -0.425     1.154     1.194
 0.5837   -0.360    -0.435     1.166     1.198
 0.5610   -0.389    -0.447     1.178     1.203
 0.5383   -0.418    -0.460     1.191     1.208
 0.5156   -0.444    -0.476     1.202     1.215
 0.4930   -0.469    -0.494     1.212     1.222
 0.4704   -0.490    -0.514     1.221     1.231
 0.4477   -0.510    -0.534     1.229     1.239
 0.4251   -0.527    -0.554     1.236     1.247
 0.4024   -0.544    -0.573     1.242     1.254
 0.3797   -0.559    -0.590     1.248     1.261
 0.3571   -0.573    -0.607     1.254     1.268
 0.3345   -0.587    -0.623     1.260     1.274
 0.3118   -0.600    -0.638     1.265     1.280
 0.2892   -0.613    -0.654     1.270     1.286
 0.2667   -0.627    -0.670     1.276     1.292
 0.2442   -0.642    -0.686     1.281     1.298
 0.2219   -0.656    -0.702     1.287     1.305
 0.1996   -0.669    -0.718     1.292     1.311
 0.1775   -0.682    -0.733     1.297     1.317
 0.1555   -0.694    -0.749     1.302     1.322
 0.1338   -0.705    -0.763     1.306     1.328
 0.1124   -0.714    -0.776     1.309     1.333
 0.0915   -0.719    -0.786     1.311     1.336
 0.0713   -0.713    -0.786     1.309     1.337
 0.0522   -0.686    -0.767     1.299     1.329
 0.0346   -0.627    -0.728     1.276     1.314
 0.0207   -0.532    -0.632     1.238     1.278
 0.0112   -0.297    -0.430     1.139     1.196
 0.0055   -0.200    -0.365     1.096     1.168
 0.0024    0.026    -0.127     0.987     1.061
 0.0007    0.412     0.237     0.767     0.874
 0.0001    0.776     0.649     0.474     0.592
 0.0006    1.000     0.985    -0.011     0.124
 0.0023    0.856     0.925    -0.379    -0.273
 0.0057    0.678     0.754    -0.568    -0.496
 0.0122    0.447     0.538    -0.744    -0.680
 0.0216    0.294     0.368    -0.840    -0.795
 0.0358    0.179     0.249    -0.906    -0.866
 0.0557    0.104     0.160    -0.946    -0.916
 0.0763    0.064     0.116    -0.967    -0.940
 0.0983    0.039     0.085    -0.980    -0.956
 0.1205    0.023     0.066    -0.988    -0.967
 0.1429    0.011     0.051    -0.994    -0.974
 0.1656    0.003     0.040    -0.999    -0.980
 0.1883   -0.004     0.032    -1.002    -0.984
 0.2111   -0.009     0.026    -1.004    -0.987
 0.2340   -0.013     0.021    -1.006    -0.990
 0.2570   -0.017     0.016    -1.008    -0.992
 0.2799   -0.020     0.013    -1.010    -0.994
 0.3029   -0.022     0.010    -1.011    -0.995
 0.3259   -0.024     0.008    -1.012    -0.996
 0.3489   -0.026     0.006    -1.013    -0.997
 0.3720   -0.027     0.004    -1.013    -0.998
 0.3950   -0.028     0.003    -1.014    -0.998
 0.4180   -0.029     0.003    -1.014    -0.999
 0.4410   -0.029     0.003    -1.015    -0.999
 0.4641   -0.029     0.004    -1.014    -0.998
 0.4871   -0.028     0.005    -1.014    -0.998
 0.5101   -0.027     0.007    -1.013    -0.996
 0.5331   -0.025     0.010    -1.012    -0.995
 0.5562   -0.023     0.013    -1.011    -0.993
 0.5792   -0.020     0.018    -1.010    -0.991
 0.6022   -0.016     0.024    -1.008    -0.988
 0.6252   -0.011     0.030    -1.005    -0.985
 0.6482   -0.005     0.038    -1.002    -0.981
 0.6712    0.002     0.048    -0.999    -0.976
 0.6942    0.011     0.058    -0.995    -0.971
 0.7172    0.020     0.069    -0.990    -0.965
 0.7403    0.031     0.079    -0.985    -0.960
 0.7633    0.042     0.089    -0.979    -0.954
 0.7864    0.054     0.097    -0.973    -0.950
 0.8095    0.066     0.104    -0.967    -0.947
 0.8327    0.079     0.110    -0.960    -0.943
 0.8558    0.094     0.114    -0.952    -0.941
 0.8789    0.111     0.118    -0.943    -0.939
 0.9020    0.129     0.120    -0.933    -0.938
 0.9249    0.150     0.122    -0.922    -0.937
 0.9477    0.176     0.123    -0.907    -0.936
 0.9700    0.208     0.124    -0.890    -0.936
 0.9901    0.251     0.125    -0.865    -0.935
 1.0000    0.247     0.125    -0.868    -0.935


