xflr5 v6.61
SD6060-104-88
T1_Re0.231_M0.00_N9.0
Alpha =   1.0,  Re =   231000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.246     0.131     0.868     0.932
 0.9902    0.241     0.081     0.871     0.959
 0.9703    0.184     0.076     0.903     0.961
 0.9483    0.140     0.060     0.927     0.969
 0.9258    0.101     0.041     0.948     0.979
 0.9031    0.065     0.021     0.967     0.989
 0.8803    0.031     0.001     0.984     1.000
 0.8575   -0.001    -0.019     1.001     1.010
 0.8346   -0.033    -0.044     1.016     1.022
 0.8117   -0.064    -0.084     1.031     1.041
 0.7888   -0.093    -0.163     1.045     1.078
 0.7660   -0.121    -0.290     1.059     1.136
 0.7432   -0.149    -0.327     1.072     1.152
 0.7204   -0.176    -0.333     1.085     1.155
 0.6976   -0.203    -0.340     1.097     1.157
 0.6748   -0.229    -0.346     1.108     1.160
 0.6521   -0.253    -0.353     1.119     1.163
 0.6293   -0.277    -0.361     1.130     1.167
 0.6065   -0.301    -0.371     1.141     1.171
 0.5837   -0.326    -0.382     1.152     1.176
 0.5610   -0.353    -0.395     1.163     1.181
 0.5383   -0.379    -0.411     1.174     1.188
 0.5156   -0.403    -0.429     1.184     1.195
 0.4930   -0.424    -0.449     1.193     1.204
 0.4704   -0.443    -0.468     1.201     1.212
 0.4477   -0.459    -0.487     1.208     1.219
 0.4251   -0.474    -0.504     1.214     1.226
 0.4024   -0.487    -0.519     1.219     1.233
 0.3797   -0.499    -0.533     1.224     1.238
 0.3571   -0.509    -0.546     1.229     1.244
 0.3345   -0.519    -0.558     1.233     1.248
 0.3118   -0.528    -0.570     1.236     1.253
 0.2892   -0.537    -0.580     1.240     1.257
 0.2667   -0.546    -0.591     1.243     1.261
 0.2442   -0.555    -0.602     1.247     1.266
 0.2219   -0.562    -0.611     1.250     1.269
 0.1996   -0.569    -0.620     1.252     1.273
 0.1775   -0.573    -0.627     1.254     1.276
 0.1555   -0.576    -0.633     1.255     1.278
 0.1338   -0.576    -0.637     1.255     1.279
 0.1124   -0.571    -0.636     1.254     1.279
 0.0915   -0.559    -0.629     1.249     1.276
 0.0713   -0.533    -0.609     1.238     1.269
 0.0522   -0.479    -0.563     1.216     1.250
 0.0346   -0.385    -0.487     1.177     1.219
 0.0207   -0.245    -0.349     1.116     1.161
 0.0112    0.019    -0.108     0.991     1.053
 0.0055    0.181     0.035     0.905     0.982
 0.0024    0.441     0.297     0.747     0.838
 0.0007    0.767     0.644     0.482     0.597
 0.0001    0.986     0.932     0.118     0.261
 0.0006    0.860     0.951    -0.375    -0.220
 0.0023    0.581     0.717    -0.647    -0.532
 0.0057    0.417     0.536    -0.763    -0.681
 0.0122    0.196     0.315    -0.897    -0.828
 0.0216    0.079     0.174    -0.960    -0.909
 0.0358   -0.002     0.082    -1.001    -0.958
 0.0557   -0.046     0.022    -1.023    -0.989
 0.0763   -0.066    -0.005    -1.032    -1.002
 0.0983   -0.075    -0.021    -1.037    -1.010
 0.1205   -0.079    -0.030    -1.039    -1.015
 0.1429   -0.082    -0.036    -1.040    -1.018
 0.1656   -0.083    -0.039    -1.041    -1.019
 0.1883   -0.083    -0.041    -1.041    -1.020
 0.2111   -0.082    -0.042    -1.040    -1.021
 0.2340   -0.082    -0.043    -1.040    -1.021
 0.2570   -0.081    -0.043    -1.040    -1.021
 0.2799   -0.081    -0.043    -1.040    -1.021
 0.3029   -0.080    -0.043    -1.039    -1.021
 0.3259   -0.079    -0.042    -1.039    -1.021
 0.3489   -0.078    -0.041    -1.038    -1.020
 0.3720   -0.077    -0.040    -1.038    -1.020
 0.3950   -0.075    -0.038    -1.037    -1.019
 0.4180   -0.074    -0.037    -1.036    -1.018
 0.4410   -0.072    -0.034    -1.035    -1.017
 0.4641   -0.070    -0.031    -1.034    -1.016
 0.4871   -0.067    -0.028    -1.033    -1.014
 0.5101   -0.064    -0.023    -1.031    -1.012
 0.5331   -0.060    -0.018    -1.030    -1.009
 0.5562   -0.057    -0.013    -1.028    -1.006
 0.5792   -0.052    -0.006    -1.026    -1.003
 0.6022   -0.046     0.002    -1.023    -0.999
 0.6252   -0.039     0.011    -1.020    -0.994
 0.6482   -0.032     0.021    -1.016    -0.989
 0.6712   -0.023     0.032    -1.012    -0.984
 0.6942   -0.014     0.044    -1.007    -0.978
 0.7172   -0.003     0.054    -1.001    -0.973
 0.7403    0.010     0.063    -0.995    -0.968
 0.7633    0.022     0.070    -0.989    -0.964
 0.7864    0.035     0.077    -0.982    -0.961
 0.8095    0.049     0.081    -0.975    -0.958
 0.8327    0.063     0.085    -0.968    -0.957
 0.8558    0.080     0.088    -0.959    -0.955
 0.8789    0.099     0.090    -0.949    -0.954
 0.9020    0.119     0.091    -0.939    -0.953
 0.9249    0.141     0.092    -0.927    -0.953
 0.9477    0.169     0.093    -0.912    -0.952
 0.9700    0.202     0.094    -0.893    -0.952
 0.9901    0.247     0.095    -0.868    -0.951
 1.0000    0.246     0.131    -0.868    -0.932


