Point,x/c,Cp,Surface
P001,0.0,-0.18397221367637834,Upper
P002,0.0035626000000000004,-0.8020589691724784,Upper
P003,0.0133331,-1.0062248779124303,Upper
P004,0.0366108,-1.0673382516056504,Upper
P005,0.072922,-1.0262189647875666,Upper
P006,0.1135604,-0.94414673130843,Upper
P007,0.1559135,-0.8743171333867811,Upper
P008,0.1991328,-0.828407250046202,Upper
P009,0.2428443,-0.7754778120789113,Upper
P010,0.2868627,-0.7176912415263128,Upper
P011,0.33105179999999995,-0.6517207352477852,Upper
P012,0.3753128,-0.6368831932406125,Upper
P013,0.4195991,-0.5914723303711267,Upper
P014,0.4638793,-0.5661220904395895,Upper
P015,0.508156,-0.5356153056400889,Upper
P016,0.552486,-0.5087014682324595,Upper
P017,0.5969223,-0.46801466582265655,Upper
P018,0.6413685,-0.2816138858536244,Upper
P019,0.6857899999999999,-0.20360035220604622,Upper
P020,0.7302401000000001,-0.15785680902249824,Upper
P021,0.7747356999999999,-0.11204672977613785,Upper
P022,0.8193114,-0.048438253727451516,Upper
P023,0.8638589,0.015536170666703198,Upper
P024,0.908108,0.06520534155618474,Upper
P025,1.0,0.14754371928657106,Upper
P026,0.0,-0.1742912165371693,Lower
P027,0.0043123,1.0668392311345571,Lower
P028,0.0147147,0.8453406780319663,Lower
P029,0.039247899999999995,0.5270986896000974,Lower
P030,0.07795060000000001,0.3399327449087223,Lower
P031,0.120143,0.25290357475005937,Lower
P032,0.1632276,0.19651426151652204,Lower
P033,0.2067013,0.16144975641436965,Lower
P034,0.2503792,0.13580010420017657,Lower
P035,0.2941554,0.1151739247283222,Lower
P036,0.3379772,0.0998040942186501,Lower
P037,0.3818675,0.08749492259834993,Lower
P038,0.42575270000000004,0.07571803948054921,Lower
P039,0.46962780000000004,0.06966325776461778,Lower
P040,0.5135062,0.06387462029993606,Lower
P041,0.5573662,0.06127971385025117,Lower
P042,0.6012075,0.06024840487665844,Lower
P043,0.6450502,0.06453998092806039,Lower
P044,0.688901,0.07172587571180321,Lower
P045,0.7328011,0.08140687285101227,Lower
P046,0.7767783,0.09537944604162328,Lower
P047,0.8207965,0.11015045198598349,Lower
P048,0.8647978000000001,0.12718368406596645,Lower
P049,1.0,0.14754371928657106,Lower
