Point,x/c,Cp,Surface
P001,0.0,-4.542486188307758,Upper
P002,0.0035626000000000004,-3.5887637953632794,Upper
P003,0.0133331,-4.124944761204874,Upper
P004,0.0366108,-2.077475051058581,Upper
P005,0.072922,-1.628052949236393,Upper
P006,0.1135604,-1.2596321076401373,Upper
P007,0.1559135,-0.9787926448909283,Upper
P008,0.1991328,-0.7672418312220655,Upper
P009,0.2428443,-0.5935925008108278,Upper
P010,0.2868627,-0.4676490304026774,Upper
P011,0.33105179999999995,-0.36753252558240534,Upper
P012,0.3753128,-0.3658874959271265,Upper
P013,0.4195991,-0.3495359011536545,Upper
P014,0.4638793,-0.34568653176030195,Upper
P015,0.508156,-0.33818519653223034,Upper
P016,0.552486,-0.34144235524968247,Upper
P017,0.5969223,-0.34723285963626416,Upper
P018,0.6413685,-0.35545800791265847,Upper
P019,0.6857899999999999,-0.3578926518024712,Upper
P020,0.7302401000000001,-0.3589125701887441,Upper
P021,0.7747356999999999,-0.3664468060099213,Upper
P022,0.8193114,-0.36884854930662847,Upper
P023,0.8638589,-0.3625316354303576,Upper
P024,0.908108,-0.3658874959271265,Upper
P025,1.0,-0.2863009612047347,Upper
P026,0.0,-4.551566752004898,Lower
P027,0.0043123,-0.12762140065653482,Lower
P028,0.0147147,1.0212673105902288,Lower
P029,0.039247899999999995,0.9959667544920399,Lower
P030,0.07795060000000001,0.8053407180383242,Lower
P031,0.120143,0.6656777003051481,Lower
P032,0.1632276,0.5543749938289796,Lower
P033,0.2067013,0.48722488330049607,Lower
P034,0.2503792,0.4273458038483451,Lower
P035,0.2941554,0.3749680596242659,Lower
P036,0.3379772,0.32913753342819657,Lower
P037,0.3818675,0.28857110212901954,Lower
P038,0.42575270000000004,0.25040641412654974,Lower
P039,0.46962780000000004,0.21776902576581694,Lower
P040,0.5135062,0.18703987180520765,Lower
P041,0.5573662,0.15785704572056047,Lower
P042,0.6012075,0.13035214988429775,Lower
P043,0.6450502,0.10633471691722624,Lower
P044,0.688901,0.08475192783996745,Lower
P045,0.7328011,0.06464966545245963,Lower
P046,0.7767783,0.046258233906441855,Lower
P047,0.8207965,0.0268139833810456,Lower
P048,0.8647978000000001,0.0062511126900597095,Lower
P049,1.0,-0.2863009612047347,Lower
