Point,x/c,Cp,Surface
P001,0.0,-2.892661996874527,Upper
P002,0.0035626000000000004,-2.111852751185086,Upper
P003,0.0133331,-2.1098040769052404,Upper
P004,0.0366108,-1.7882283012366138,Upper
P005,0.072922,-1.5300292557090096,Upper
P006,0.1135604,-1.3359669323939825,Upper
P007,0.1559135,-1.2022413709337552,Upper
P008,0.1991328,-1.116560525649256,Upper
P009,0.2428443,-1.0065268909414335,Upper
P010,0.2868627,-0.8899176726579786,Upper
P011,0.33105179999999995,-0.7757206031233739,Upper
P012,0.3753128,-0.7414218305027375,Upper
P013,0.4195991,-0.6807215941789327,Upper
P014,0.4638793,-0.6279517099061424,Upper
P015,0.508156,-0.5545959534342608,Upper
P016,0.552486,-0.4829253967732199,Upper
P017,0.5969223,-0.40940442463360893,Upper
P018,0.6413685,-0.34298772620636486,Upper
P019,0.6857899999999999,-0.27310149875680206,Upper
P020,0.7302401000000001,-0.2059248082580025,Upper
P021,0.7747356999999999,-0.14462979553037178,Upper
P022,0.8193114,-0.07682528549420022,Upper
P023,0.8638589,-0.0077320932497388604,Upper
P024,0.908108,0.04688820650162155,Upper
P025,1.0,0.12070656684314555,Upper
P026,0.0,-2.9038305760130387,Lower
P027,0.0043123,0.7205055269681875,Lower
P028,0.0147147,1.045683004193316,Lower
P029,0.039247899999999995,0.798454279002948,Lower
P030,0.07795060000000001,0.5851278088306656,Lower
P031,0.120143,0.45966303075691156,Lower
P032,0.1632276,0.3753369539477937,Lower
P033,0.2067013,0.32342619114719645,Lower
P034,0.2503792,0.28208923108128486,Lower
P035,0.2941554,0.248220019196745,Lower
P036,0.3379772,0.21957162241245612,Lower
P037,0.3818675,0.19663968773160667,Lower
P038,0.42575270000000004,0.1747320901906799,Lower
P039,0.46962780000000004,0.15933398995829395,Lower
P040,0.5135062,0.1458523914715698,Lower
P041,0.5573662,0.1342542515969615,Lower
P042,0.6012075,0.12579520940921302,Lower
P043,0.6450502,0.12133438638051751,Lower
P044,0.688901,0.1205083080418702,Lower
P045,0.7328011,0.12239176665398607,Lower
P046,0.7767783,0.1284386600928844,Lower
P047,0.8207965,0.13636901214389863,Lower
P048,0.8647978000000001,0.14638108160830407,Lower
P049,1.0,0.12070656684314555,Lower
