Point,x/c,Cp,Surface
P001,0.0,-5.798360824608931,Upper
P002,0.0035626000000000004,-4.042774744171749,Upper
P003,0.0133331,-3.537584332340385,Upper
P004,0.0366108,-2.3986664697351645,Upper
P005,0.072922,-1.9383965091253115,Upper
P006,0.1135604,-1.598825561511674,Upper
P007,0.1559135,-1.3515984153827265,Upper
P008,0.1991328,-1.1785361198042508,Upper
P009,0.2428443,-1.0284609759505658,Upper
P010,0.2868627,-0.8853676031078487,Upper
P011,0.33105179999999995,-0.7312417147525172,Upper
P012,0.3753128,-0.6461431473358128,Upper
P013,0.4195991,-0.5259381275715052,Upper
P014,0.4638793,-0.4287531924141155,Upper
P015,0.508156,-0.33377476035924886,Upper
P016,0.552486,-0.2701154992073566,Upper
P017,0.5969223,-0.23461385227422682,Upper
P018,0.6413685,-0.2183120756212591,Upper
P019,0.6857899999999999,-0.20889327133287772,Upper
P020,0.7302401000000001,-0.20072591656533023,Upper
P021,0.7747356999999999,-0.20293241966785314,Upper
P022,0.8193114,-0.19947446704449634,Upper
P023,0.8638589,-0.1879808911821009,Upper
P024,0.908108,-0.18504986467277942,Upper
P025,1.0,-0.14207245349677353,Upper
P026,0.0,-5.810776521170888,Lower
P027,0.0043123,-0.20757595604778942,Lower
P028,0.0147147,1.0199972252438734,Lower
P029,0.039247899999999995,0.9908186916791675,Lower
P030,0.07795060000000001,0.796876948832042,Lower
P031,0.120143,0.6556278173884487,Lower
P032,0.1632276,0.5457637226120841,Lower
P033,0.2067013,0.48058954888234034,Lower
P034,0.2503792,0.42335219974525357,Lower
P035,0.2941554,0.37382114502593333,Lower
P036,0.3379772,0.33114012978907226,Lower
P037,0.3818675,0.29425530180659976,Lower
P038,0.42575270000000004,0.2601368359228127,Lower
P039,0.46962780000000004,0.23132056406150606,Lower
P040,0.5135062,0.2049413254776128,Lower
P041,0.5573662,0.18004406658944389,Lower
P042,0.6012075,0.15811076709272362,Lower
P043,0.6450502,0.13920729275170649,Lower
P044,0.688901,0.12326777780213799,Lower
P045,0.7328011,0.10913957136956594,Lower
P046,0.7767783,0.09790945856418816,Lower
P047,0.8207965,0.08565842641286693,Lower
P048,0.8647978000000001,0.0729134010296376,Lower
P049,1.0,-0.14207245349677353,Lower
