Point,x/c,Cp,Surface
P001,0.0,-4.9103936810758695,Upper
P002,0.0035626000000000004,-3.8835915959220455,Upper
P003,0.0133331,-4.138721448088046,Upper
P004,0.0366108,-2.2459404992499903,Upper
P005,0.072922,-1.7962138842722932,Upper
P006,0.1135604,-1.429757664040633,Upper
P007,0.1559135,-1.1591704332092,Upper
P008,0.1991328,-0.9580250605112888,Upper
P009,0.2428443,-0.7764590341229245,Upper
P010,0.2868627,-0.6115803283583168,Upper
P011,0.33105179999999995,-0.45494555788193963,Upper
P012,0.3753128,-0.3952767520659172,Upper
P013,0.4195991,-0.34318704804713895,Upper
P014,0.4638793,-0.32071567605180135,Upper
P015,0.508156,-0.30010583783122535,Upper
P016,0.552486,-0.29734677884363214,Upper
P017,0.5969223,-0.3018344049077898,Upper
P018,0.6413685,-0.30735252288297626,Upper
P019,0.6857899999999999,-0.3082168064212585,Upper
P020,0.7302401000000001,-0.3070533478120324,Upper
P021,0.7747356999999999,-0.31057696531425993,Upper
P022,0.8193114,-0.3132695409527545,Upper
P023,0.8638589,-0.30668768939199,Upper
P024,0.908108,-0.30755197293027214,Upper
P025,1.0,-0.24957849251626496,Upper
P026,0.0,-4.914648615418182,Lower
P027,0.0043123,-0.19406489601890714,Lower
P028,0.0147147,1.0267688434792743,Lower
P029,0.039247899999999995,1.0059595552114025,Lower
P030,0.07795060000000001,0.8133905345472147,Lower
P031,0.120143,0.6713488591979871,Lower
P032,0.1632276,0.5593576576413414,Lower
P033,0.2067013,0.4921097500280749,Lower
P034,0.2503792,0.43237446086295395,Lower
P035,0.2941554,0.380317998518725,Lower
P036,0.3379772,0.3349763544334579,Lower
P037,0.3818675,0.2951528283233773,Lower
P038,0.42575270000000004,0.25822132789908714,Lower
P039,0.46962780000000004,0.2260433869353492,Lower
P040,0.5135062,0.1962920882137113,Lower
P041,0.5573662,0.1681363898704406,Lower
P042,0.6012075,0.14204167534922751,Lower
P043,0.6450502,0.1192378866083967,Lower
P044,0.688901,0.09906019015696185,Lower
P045,0.7328011,0.08044485240934486,Lower
P046,0.7767783,0.06385725680923615,Lower
P047,0.8207965,0.046272410972647955,Lower
P048,0.8647978000000001,0.027357898154087117,Lower
P049,1.0,-0.24957849251626496,Lower
