Point,x/c,Cp,Surface
P001,0.0,-0.0056108519504731325,Upper
P002,0.0035626000000000004,0.8525559053814845,Upper
P003,0.0133331,0.899399994921481,Upper
P004,0.0366108,0.5124795589647262,Upper
P005,0.072922,0.1838206438425355,Upper
P006,0.1135604,0.045082542997406216,Upper
P007,0.1559135,-0.034219672651432075,Upper
P008,0.1991328,-0.12719018462148107,Upper
P009,0.2428443,-0.1504491232301284,Upper
P010,0.2868627,-0.1771006699948758,Upper
P011,0.33105179999999995,-0.17615465425904023,Upper
P012,0.3753128,-0.21448460217651655,Upper
P013,0.4195991,-0.21546323914462231,Upper
P014,0.4638793,-0.21892108976526276,Upper
P015,0.508156,-0.1935743922913231,Upper
P016,0.552486,-0.1691084680886786,Upper
P017,0.5969223,-0.14686078768040725,Upper
P018,0.6413685,-0.11081432602184436,Upper
P019,0.6857899999999999,-0.09009984353027205,Upper
P020,0.7302401000000001,-0.0633178118364439,Upper
P021,0.7747356999999999,-0.05362930585219669,Upper
P022,0.8193114,-0.0407439191054706,Upper
P023,0.8638589,-0.028510957004148362,Upper
P024,0.908108,-0.01921390580714346,Upper
P025,1.0,0.10285474534791737,Upper
P026,0.0,0.006622110150849104,Lower
P027,0.0043123,-1.9145075007053354,Lower
P028,0.0147147,-1.2964330128819956,Lower
P029,0.039247899999999995,-0.9228872821560199,Lower
P030,0.07795060000000001,-0.6981269918143925,Lower
P031,0.120143,-0.5591931635756421,Lower
P032,0.1632276,-0.4443338047522939,Lower
P033,0.2067013,-0.37224088143516815,Lower
P034,0.2503792,-0.3329975390141264,Lower
P035,0.2941554,-0.2985168965045328,Lower
P036,0.3379772,-0.27111506139757097,Lower
P037,0.3818675,-0.24704059198216882,Lower
P038,0.42575270000000004,-0.22391213830260223,Lower
P039,0.46962780000000004,-0.20042485106806351,Lower
P040,0.5135062,-0.17667659397536328,Lower
P041,0.5573662,-0.15400483754757943,Lower
P042,0.6012075,-0.1297020195062859,Lower
P043,0.6450502,-0.10243066932840486,Lower
P044,0.688901,-0.07238651440755746,Lower
P045,0.7328011,-0.040678676640930216,Lower
P046,0.7767783,-0.005415124556851976,Lower
P047,0.8207965,0.031055413121223386,Lower
P048,0.8647978000000001,0.06814575421243241,Lower
P049,1.0,0.10285474534791737,Lower
