Point,x/c,Cp,Surface
P001,0.0,-4.8821971348976945,Upper
P002,0.0035626000000000004,-3.8866951864035926,Upper
P003,0.0133331,-4.1501870390163145,Upper
P004,0.0366108,-2.2399621494882247,Upper
P005,0.072922,-1.7982267820536786,Upper
P006,0.1135604,-1.4378001204888207,Upper
P007,0.1559135,-1.1718915188824148,Upper
P008,0.1991328,-0.9742809059605227,Upper
P009,0.2428443,-0.7958056480845099,Upper
P010,0.2868627,-0.6361677898989909,Upper
P011,0.33105179999999995,-0.47374901506320566,Upper
P012,0.3753128,-0.41286680411273496,Upper
P013,0.4195991,-0.3514548947526898,Upper
P014,0.4638793,-0.3238774713042167,Upper
P015,0.508156,-0.29557171254257864,Upper
P016,0.552486,-0.2897781361878574,Upper
P017,0.5969223,-0.2913341252659825,Upper
P018,0.6413685,-0.295439287940185,Upper
P019,0.6857899999999999,-0.2950089079824057,Upper
P020,0.7302401000000001,-0.29474405877761845,Upper
P021,0.7747356999999999,-0.2959358801991611,Upper
P022,0.8193114,-0.2987830091506241,Upper
P023,0.8638589,-0.2904402591998255,Upper
P024,0.908108,-0.2924597343863284,Upper
P025,1.0,-0.24025133489264033,Upper
P026,0.0,-4.887427906692243,Lower
P027,0.0043123,-0.19718023296411272,Lower
P028,0.0147147,1.0186100416117898,Lower
P029,0.039247899999999995,0.9992429435117216,Lower
P030,0.07795060000000001,0.8086839406672904,Lower
P031,0.120143,0.6678172698710682,Lower
P032,0.1632276,0.5571434084205932,Lower
P033,0.2067013,0.4895406488986459,Lower
P034,0.2503792,0.43028063932749716,Lower
P035,0.2941554,0.37856883209278525,Lower
P036,0.3379772,0.3339748472367309,Lower
P037,0.3818675,0.29471095262702,Lower
P038,0.42575270000000004,0.25693683479423757,Lower
P039,0.46962780000000004,0.22585015938233327,Lower
P040,0.5135062,0.19635257919915255,Lower
P041,0.5573662,0.16854341269649056,Lower
P042,0.6012075,0.14265440292853623,Lower
P043,0.6450502,0.12024153897341461,Lower
P044,0.688901,0.10044406091556715,Lower
P045,0.7328011,0.08207014733345121,Lower
P046,0.7767783,0.06584813354023174,Lower
P047,0.8207965,0.048666041379658444,Lower
P048,0.8647978000000001,0.029861747839763208,Lower
P049,1.0,-0.24025133489264033,Lower
