Point,x/c,Cp,Surface
P001,0.0,0.6702622972678033,Upper
P002,0.0035626000000000004,0.8169551348339943,Upper
P003,0.0133331,0.684171974535344,Upper
P004,0.0366108,0.2779633615662435,Upper
P005,0.072922,-0.009174467984973612,Upper
P006,0.1135604,-0.13067862283973167,Upper
P007,0.1559135,-0.18953990489386344,Upper
P008,0.1991328,-0.25323504642394906,Upper
P009,0.2428443,-0.2709920812335754,Upper
P010,0.2868627,-0.27589170750512043,Upper
P011,0.33105179999999995,-0.2646127020612281,Upper
P012,0.3753128,-0.29805511761935777,Upper
P013,0.4195991,-0.283158938417949,Upper
P014,0.4638793,-0.2763520750742589,Upper
P015,0.508156,-0.24702008424057983,Upper
P016,0.552486,-0.21180196520148756,Upper
P017,0.5969223,-0.18076003768243706,Upper
P018,0.6413685,-0.15031001132370744,Upper
P019,0.6857899999999999,-0.13600573328261956,Upper
P020,0.7302401000000001,-0.11545360966036684,Upper
P021,0.7747356999999999,-0.11377655637279102,Upper
P022,0.8193114,-0.11111300115134706,Upper
P023,0.8638589,-0.0028279722104219735,Upper
P024,0.908108,0.12676549850205474,Upper
P025,1.0,0.09828847601106137,Upper
P026,0.0,0.6738465876275241,Lower
P027,0.0043123,-0.7710827949091262,Lower
P028,0.0147147,-0.7146548842918692,Lower
P029,0.039247899999999995,-0.552605499955131,Lower
P030,0.07795060000000001,-0.43882894358233987,Lower
P031,0.120143,-0.3650057155312082,Lower
P032,0.1632276,-0.31466123350613795,Lower
P033,0.2067013,-0.28289587123558413,Lower
P034,0.2503792,-0.2558328348498018,Lower
P035,0.2941554,-0.23199237144798862,Lower
P036,0.3379772,-0.21134159763234908,Lower
P037,0.3818675,-0.1932228454469711,Lower
P038,0.42575270000000004,-0.1788199172124964,Lower
P039,0.46962780000000004,-0.15981331328663712,Lower
P040,0.5135062,-0.14376621516238217,Lower
P041,0.5573662,-0.12683126529764593,Lower
P042,0.6012075,-0.10960036485274927,Lower
P043,0.6450502,-0.09144872926957567,Lower
P044,0.688901,-0.07329709368640207,Lower
P045,0.7328011,-0.056066193241505406,Lower
P046,0.7767783,-0.03538253602807027,Lower
P047,0.8207965,0.00042748417134285646,Lower
P048,0.8647978000000001,0.06451722647497572,Lower
P049,1.0,0.09828847601106137,Lower
