Point,x/c,Cp,Surface
P001,0.0,-5.331932184752975,Upper
P002,0.0035626000000000004,-3.8804295320025175,Upper
P003,0.0133331,-3.247651007530948,Upper
P004,0.0366108,-2.4106306273266345,Upper
P005,0.072922,-1.9508710069324626,Upper
P006,0.1135604,-1.6249855922027745,Upper
P007,0.1559135,-1.3936971031889664,Upper
P008,0.1991328,-1.2375160541443886,Upper
P009,0.2428443,-1.098471168587936,Upper
P010,0.2868627,-0.9754686488501542,Upper
P011,0.33105179999999995,-0.841561297801747,Upper
P012,0.3753128,-0.7758671468666126,Upper
P013,0.4195991,-0.6821651465166504,Upper
P014,0.4638793,-0.5948270598798799,Upper
P015,0.508156,-0.49853971958393367,Upper
P016,0.552486,-0.4072241868764184,Upper
P017,0.5969223,-0.3300617331039699,Upper
P018,0.6413685,-0.2630417668119206,Upper
P019,0.6857899999999999,-0.2071917949018795,Upper
P020,0.7302401000000001,-0.16048994895455135,Upper
P021,0.7747356999999999,-0.1315208834059603,Upper
P022,0.8193114,-0.11100389075770188,Upper
P023,0.8638589,-0.08147135368242198,Upper
P024,0.908108,-0.07311871693385796,Upper
P025,1.0,-0.04381819754603818,Upper
P026,0.0,-5.34260499837614,Lower
P027,0.0043123,-0.14269087778796852,Lower
P028,0.0147147,1.0302579684746633,Lower
P029,0.039247899999999995,0.9793798041530533,Lower
P030,0.07795060000000001,0.7805075006158148,Lower
P031,0.120143,0.6399379273989101,Lower
P032,0.1632276,0.5333092273190275,Lower
P033,0.2067013,0.4693386363478825,Lower
P034,0.2503792,0.41421786288414464,Lower
P035,0.2941554,0.3669856907940505,Lower
P036,0.3379772,0.32648203164029965,Lower
P037,0.3818675,0.2919445415926659,Lower
P038,0.42575270000000004,0.2600255368749392,Lower
P039,0.46962780000000004,0.2340064104954838,Lower
P040,0.5135062,0.21024117022278382,Lower
P041,0.5573662,0.18826578068191896,Lower
P042,0.6012075,0.16967122030118717,Lower
P043,0.6450502,0.15389401755389961,Lower
P044,0.688901,0.14156393473459083,Lower
P045,0.7328011,0.13171975570949754,Lower
P046,0.7767783,0.12515696969276865,Lower
P047,0.8207965,0.11905821905096003,Lower
P048,0.8647978000000001,0.11339035840014874,Lower
P049,1.0,-0.04381819754603818,Lower
