Point,x/c,Cp,Surface
P001,0.0,-5.100020101577479,Upper
P002,0.0035626000000000004,-3.6233614488883217,Upper
P003,0.0133331,-4.020231156626266,Upper
P004,0.0366108,-2.2933507875679795,Upper
P005,0.072922,-1.9407687058145497,Upper
P006,0.1135604,-1.6263063386642291,Upper
P007,0.1559135,-1.402239262906959,Upper
P008,0.1991328,-1.2550520005976935,Upper
P009,0.2428443,-1.1232339600912729,Upper
P010,0.2868627,-1.0001453679333985,Upper
P011,0.33105179999999995,-0.8712596131656786,Upper
P012,0.3753128,-0.8107264501000864,Upper
P013,0.4195991,-0.7197581833328073,Upper
P014,0.4638793,-0.6387664289638663,Upper
P015,0.508156,-0.5432480636365342,Upper
P016,0.552486,-0.4517068214950261,Upper
P017,0.5969223,-0.3711532247652013,Upper
P018,0.6413685,-0.3008794803377181,Upper
P019,0.6857899999999999,-0.23313356844359764,Upper
P020,0.7302401000000001,-0.17455526253713924,Upper
P021,0.7747356999999999,-0.13124506513219159,Upper
P022,0.8193114,-0.09666431607578979,Upper
P023,0.8638589,-0.05800533053222952,Upper
P024,0.908108,-0.041860906752486375,Upper
P025,1.0,-0.008392404010764177,Upper
P026,0.0,-5.109086594263806,Lower
P027,0.0043123,-0.03660301508309195,Lower
P028,0.0147147,1.0521513092531138,Lower
P029,0.039247899999999995,0.9760466977820071,Lower
P030,0.07795060000000001,0.7716967157849662,Lower
P031,0.120143,0.6302729116517675,Lower
P032,0.1632276,0.522924290068298,Lower
P033,0.2067013,0.45811066391287825,Lower
P034,0.2503792,0.40384652553002554,Lower
P035,0.2941554,0.35750292908504266,Lower
P036,0.3379772,0.31793392382947183,Lower
P037,0.3818675,0.2841620811837461,Lower
P038,0.42575270000000004,0.2531202976740521,Lower
P039,0.46962780000000004,0.22814531224442855,Lower
P040,0.5135062,0.20573186378194594,Lower
P041,0.5573662,0.18493622814081542,Lower
P042,0.6012075,0.16740992257616735,Lower
P043,0.6450502,0.15338887812444887,Lower
P044,0.688901,0.14280568591810366,Lower
P045,0.7328011,0.1349525528477902,Lower
P046,0.7767783,0.13043615872151554,Lower
P047,0.8207965,0.12703201090992042,Lower
P048,0.8647978000000001,0.12443676950900137,Lower
P049,1.0,-0.008392404010764177,Lower
