Point,x/c,Cp,Surface
P001,0.0,-0.3161766413875101,Upper
P002,0.0035626000000000004,0.8497433019552763,Upper
P003,0.0133331,0.9814587982316151,Upper
P004,0.0366108,0.6264412783032387,Upper
P005,0.072922,0.2848000813417424,Upper
P006,0.1135604,0.13128613282308083,Upper
P007,0.1559135,0.026785673891702777,Upper
P008,0.1991328,-0.057369562946840605,Upper
P009,0.2428443,-0.09247828224015756,Upper
P010,0.2868627,-0.12253372396820877,Upper
P011,0.33105179999999995,-0.12487870898215563,Upper
P012,0.3753128,-0.17240594046200802,Upper
P013,0.4195991,-0.17937483958796277,Upper
P014,0.4638793,-0.18891991943346473,Upper
P015,0.508156,-0.17032517911160447,Upper
P016,0.552486,-0.14832855912162413,Upper
P017,0.5969223,-0.12745488970170288,Upper
P018,0.6413685,-0.09485629521204732,Upper
P019,0.6857899999999999,-0.07262847951646659,Upper
P020,0.7302401000000001,-0.047196951900423265,Upper
P021,0.7747356999999999,-0.03220225899434058,Upper
P022,0.8193114,-0.01644792305557088,Upper
P023,0.8638589,-0.002311957056003939,Upper
P024,0.908108,-0.004326662490521657,Upper
P025,1.0,0.09630952536153552,Upper
P026,0.0,-0.3041214367383467,Lower
P027,0.0043123,-2.056221577651961,Lower
P028,0.0147147,-1.94693206481886,Lower
P029,0.039247899999999995,-0.9685778946338788,Lower
P030,0.07795060000000001,-0.7505603442527073,Lower
P031,0.120143,-0.6159053597194493,Lower
P032,0.1632276,-0.5314528712594198,Lower
P033,0.2067013,-0.4581968605420378,Lower
P034,0.2503792,-0.40739986122583693,Lower
P035,0.2941554,-0.3631754255402759,Lower
P036,0.3379772,-0.32512721799003963,Lower
P037,0.3818675,-0.292561651458327,Lower
P038,0.42575270000000004,-0.26412457966947855,Lower
P039,0.46962780000000004,-0.23512603259560058,Lower
P040,0.5135062,-0.20711832426001003,Lower
P041,0.5573662,-0.1800023707888781,Lower
P042,0.6012075,-0.15232494203271665,Lower
P043,0.6450502,-0.1221373884728938,Lower
P044,0.688901,-0.08914245848792329,Lower
P045,0.7328011,-0.05561908117586619,Lower
P046,0.7767783,-0.01866079623774608,Lower
P047,0.8207965,0.01826446074243112,Lower
P048,0.8647978000000001,0.055486969344094535,Lower
P049,1.0,0.09630952536153552,Lower
