Point,x/c,Cp,Surface
P001,0.0,-5.2316461431450145,Upper
P002,0.0035626000000000004,-4.02329837849813,Upper
P003,0.0133331,-3.954295257051278,Upper
P004,0.0366108,-2.331763526363496,Upper
P005,0.072922,-1.8822187653282816,Upper
P006,0.1135604,-1.5308580434782195,Upper
P007,0.1559135,-1.279829446490534,Upper
P008,0.1991328,-1.0955236953846466,Upper
P009,0.2428443,-0.9263206389632471,Upper
P010,0.2868627,-0.7707992359321718,Upper
P011,0.33105179999999995,-0.6076438668789591,Upper
P012,0.3753128,-0.5116409608429893,Upper
P013,0.4195991,-0.4076075191213946,Upper
P014,0.4638793,-0.3368859291327628,Upper
P015,0.508156,-0.2825889327069114,Upper
P016,0.552486,-0.2618351203177241,Upper
P017,0.5969223,-0.25565524306170817,Upper
P018,0.6413685,-0.25264792311359346,Upper
P019,0.6857899999999999,-0.25218525850619117,Upper
P020,0.7302401000000001,-0.25073116974006976,Upper
P021,0.7747356999999999,-0.2510946919316001,Upper
P022,0.8193114,-0.25159040401095967,Upper
P023,0.8638589,-0.24147787759202446,Upper
P024,0.908108,-0.24309720371793242,Upper
P025,1.0,-0.19709512275336447,Upper
P026,0.0,-5.240139343438042,Lower
P027,0.0043123,-0.2210875873943676,Lower
P028,0.0147147,1.016705474766475,Lower
P029,0.039247899999999995,0.9954889977698856,Lower
P030,0.07795060000000001,0.8039788977773056,Lower
P031,0.120143,0.6619408633048106,Lower
P032,0.1632276,0.552718968485919,Lower
P033,0.2067013,0.48602917007607827,Lower
P034,0.2503792,0.42773342954339305,Lower
P035,0.2941554,0.377170797448717,Lower
P036,0.3379772,0.33328375468941657,Lower
P037,0.3818675,0.2951800195226444,Lower
P038,0.42575270000000004,0.2592574175050544,Lower
P039,0.46962780000000004,0.22941555032760833,Lower
P040,0.5135062,0.20142434157977135,Lower
P041,0.5573662,0.17495331654197038,Lower
P042,0.6012075,0.15082866201313805,Lower
P043,0.6450502,0.1302400869837373,Lower
P044,0.688901,0.1121300723511344,Lower
P045,0.7328011,0.09580462120422593,Lower
P046,0.7767783,0.08182554056628612,Lower
P047,0.8207965,0.06672284588179793,Lower
P048,0.8647978000000001,0.050430442206846775,Lower
P049,1.0,-0.19709512275336447,Lower
