Point,x/c,Cp,Surface
P001,0.0,-1.8756125510197266,Upper
P002,0.0035626000000000004,-1.678959587477988,Upper
P003,0.0133331,-1.732550395086438,Upper
P004,0.0366108,-1.556269167116275,Upper
P005,0.072922,-1.3704263664826786,Upper
P006,0.1135604,-1.2059738881992363,Upper
P007,0.1559135,-1.0883435440923988,Upper
P008,0.1991328,-1.0084337684309939,Upper
P009,0.2428443,-0.9390712945735821,Upper
P010,0.2868627,-0.8708259804088048,Upper
P011,0.33105179999999995,-0.7860204166826182,Upper
P012,0.3753128,-0.7566128306559088,Upper
P013,0.4195991,-0.6759473293200745,Upper
P014,0.4638793,-0.5941975259296242,Upper
P015,0.508156,-0.5236521771035401,Upper
P016,0.552486,-0.45120108527237324,Upper
P017,0.5969223,-0.3874572675161539,Upper
P018,0.6413685,-0.3281163732544363,Upper
P019,0.6857899999999999,-0.2669683089016919,Upper
P020,0.7302401000000001,-0.2025673383850991,Upper
P021,0.7747356999999999,-0.1437850239696989,Upper
P022,0.8193114,-0.07093964048230803,Upper
P023,0.8638589,-0.0016757395389521582,Upper
P024,0.908108,0.05723800542852274,Upper
P025,1.0,0.1337963020120233,Upper
P026,0.0,-1.8741668149469048,Lower
P027,0.0043123,0.9025336010968212,Lower
P028,0.0147147,1.0121795391651223,Lower
P029,0.039247899999999995,0.72743524809533,Lower
P030,0.07795060000000001,0.5129734447474724,Lower
P031,0.120143,0.39655883324732544,Lower
P032,0.1632276,0.3230891546375798,Lower
P033,0.2067013,0.2740327010757059,Lower
P034,0.2503792,0.2374621499609264,Lower
P035,0.2941554,0.20739741117384358,Lower
P036,0.3379772,0.18278704029785994,Lower
P037,0.3818675,0.16336817622882607,Lower
P038,0.42575270000000004,0.1444421767300723,Lower
P039,0.46962780000000004,0.13202198955901512,Lower
P040,0.5135062,0.12071896208059274,Lower
P041,0.5573662,0.11207740328168257,Lower
P042,0.6012075,0.1056373062300233,Lower
P043,0.6450502,0.10438871598531385,Lower
P044,0.688901,0.10626160135237804,Lower
P045,0.7328011,0.11073024012291713,Lower
P046,0.7767783,0.11953608711192062,Lower
P047,0.8207965,0.13008338891591362,Lower
P048,0.8647978000000001,0.1420435691547094,Lower
P049,1.0,0.1337963020120233,Lower
