Point,x/c,Cp,Surface
P001,0.0,1.0523632962567513,Upper
P002,0.0035626000000000004,0.3917654150485334,Upper
P003,0.0133331,0.10500861577486223,Upper
P004,0.0366108,-0.23467538853774972,Upper
P005,0.072922,-0.40851864835833945,Upper
P006,0.1135604,-0.45946148984019647,Upper
P007,0.1559135,-0.4723435876861832,Upper
P008,0.1991328,-0.4922522843572537,Upper
P009,0.2428443,-0.4837943413270604,Upper
P010,0.2868627,-0.4703917546792155,Upper
P011,0.33105179999999995,-0.42322245701082944,Upper
P012,0.3753128,-0.4469697585956032,Upper
P013,0.4195991,-0.4105680730156555,Upper
P014,0.4638793,-0.39495340895991393,Upper
P015,0.508156,-0.35389985471336005,Upper
P016,0.552486,-0.3197427770914253,Upper
P017,0.5969223,-0.2856507605697228,Upper
P018,0.6413685,-0.26678304150236837,Upper
P019,0.6857899999999999,-0.2586829345234524,Upper
P020,0.7302401000000001,-0.2539334742064977,Upper
P021,0.7747356999999999,-0.17231432396513172,Upper
P022,0.8193114,0.003318116111845089,Upper
P023,0.8638589,0.06486591693155988,Upper
P024,0.908108,0.08949154336946902,Upper
P025,1.0,0.10530139072590737,Upper
P026,0.0,1.060658586536364,Lower
P027,0.0043123,0.5734810679972262,Lower
P028,0.0147147,0.14173560685597109,Lower
P029,0.039247899999999995,-0.0038060743635870134,Lower
P030,0.07795060000000001,-0.06073453706681158,Lower
P031,0.120143,-0.07140455750490167,Lower
P032,0.1632276,-0.07482026526709513,Lower
P033,0.2067013,-0.07696728157475961,Lower
P034,0.2503792,-0.07456002086616612,Lower
P035,0.2941554,-0.07140455750490167,Lower
P036,0.3379772,-0.06756595259119852,Lower
P037,0.3818675,-0.06288155337447604,Lower
P038,0.42575270000000004,-0.0599538038640245,Lower
P039,0.46962780000000004,-0.05175610523476016,Lower
P040,0.5135062,-0.04320057055421841,Lower
P041,0.5573662,-0.03357152771984443,Lower
P042,0.6012075,-0.021665346377341462,Lower
P043,0.6450502,-0.005595254619974071,Lower
P044,0.688901,0.012654383995173917,Lower
P045,0.7328011,0.03139198086206383,Lower
P046,0.7767783,0.050292230479534385,Lower
P047,0.8207965,0.0650285696821405,Lower
P048,0.8647978000000001,0.07495038746755965,Lower
P049,1.0,0.10530139072590737,Lower
