Point,x/c,Cp,Surface
P001,0.0,-5.799296884470996,Upper
P002,0.0035626000000000004,-3.9861228250061624,Upper
P003,0.0133331,-3.289620544606823,Upper
P004,0.0366108,-2.4274649261628327,Upper
P005,0.072922,-1.961433963300017,Upper
P006,0.1135604,-1.6294288892787876,Upper
P007,0.1559135,-1.3946341559731803,Upper
P008,0.1991328,-1.2350003429608691,Upper
P009,0.2428443,-1.090964083761636,Upper
P010,0.2868627,-0.9624256072423479,Upper
P011,0.33105179999999995,-0.8214822531702283,Upper
P012,0.3753128,-0.7532720551518428,Upper
P013,0.4195991,-0.6516052704896272,Upper
P014,0.4638793,-0.5640062155991216,Upper
P015,0.508156,-0.46333714226823286,Upper
P016,0.552486,-0.36975181938976553,Upper
P017,0.5969223,-0.2958879238271941,Upper
P018,0.6413685,-0.23698969823452684,Upper
P019,0.6857899999999999,-0.1939883398543355,Upper
P020,0.7302401000000001,-0.16159597863058742,Upper
P021,0.7747356999999999,-0.1456325973293563,Upper
P022,0.8193114,-0.13755113554560805,Upper
P023,0.8638589,-0.11746388074155889,Upper
P024,0.908108,-0.11513588763512936,Upper
P025,1.0,-0.07742239931097088,Upper
P026,0.0,-5.811402448624429,Lower
P027,0.0043123,-0.1723712610089184,Lower
P028,0.0147147,1.0272103296898443,Lower
P029,0.039247899999999995,0.983044974756438,Lower
P030,0.07795060000000001,0.7858639586418564,Lower
P031,0.120143,0.6441889495934303,Lower
P032,0.1632276,0.5375668653189575,Lower
P033,0.2067013,0.47208374493953237,Lower
P034,0.2503792,0.4161121392520909,Lower
P035,0.2941554,0.36785616786024433,Lower
P036,0.3379772,0.3267837180539518,Lower
P037,0.3818675,0.29133170874746767,Lower
P038,0.42575270000000004,0.2588063193462093,Lower
P039,0.46962780000000004,0.23160205704536133,Lower
P040,0.5135062,0.20699184420596337,Lower
P041,0.5573662,0.18411099767419878,Lower
P042,0.6012075,0.16425654218079258,Lower
P043,0.6450502,0.14752824885887747,Lower
P044,0.688901,0.13415891701909644,Lower
P045,0.7328011,0.12295129306385709,Lower
P046,0.7767783,0.1150028594576191,Lower
P047,0.8207965,0.10685488358511573,Lower
P048,0.8647978000000001,0.09953833382205146,Lower
P049,1.0,-0.07742239931097088,Lower
