Point,x/c,Cp,Surface
P001,0.0,-5.50208753478063,Upper
P002,0.0035626000000000004,-4.033111163490343,Upper
P003,0.0133331,-3.7553904575121684,Upper
P004,0.0366108,-2.357372106495596,Upper
P005,0.072922,-1.908235587109459,Upper
P006,0.1135604,-1.5613737561625307,Upper
P007,0.1559135,-1.3172821305561635,Upper
P008,0.1991328,-1.1410102515149436,Upper
P009,0.2428443,-0.9832376701242265,Upper
P010,0.2868627,-0.8330960490143418,Upper
P011,0.33105179999999995,-0.6753895365438048,Upper
P012,0.3753128,-0.5783012583387551,Upper
P013,0.4195991,-0.46585195619177,Upper
P014,0.4638793,-0.3731902956388048,Upper
P015,0.508156,-0.2981360023139075,Upper
P016,0.552486,-0.25621527245946446,Upper
P017,0.5969223,-0.2387730775318475,Upper
P018,0.6413685,-0.23081177265011324,Upper
P019,0.6857899999999999,-0.2266494306787501,Upper
P020,0.7302401000000001,-0.22106660692350905,Upper
P021,0.7747356999999999,-0.226451223918209,Upper
P022,0.8193114,-0.2218263995055833,Upper
P023,0.8638589,-0.20930633913140367,Upper
P024,0.908108,-0.2082162019484276,Upper
P025,1.0,-0.16203402674235085,Upper
P026,0.0,-5.511039873465069,Lower
P027,0.0043123,-0.21753191969385938,Lower
P028,0.0147147,1.0163381991345906,Lower
P029,0.039247899999999995,0.992156974348576,Lower
P030,0.07795060000000001,0.7980134523985667,Lower
P031,0.120143,0.6577821693157371,Lower
P032,0.1632276,0.5484711408773193,Lower
P033,0.2067013,0.48250132407722257,Lower
P034,0.2503792,0.42488922567994225,Lower
P035,0.2941554,0.3750402254038551,Lower
P036,0.3379772,0.3323597029673378,Lower
P037,0.3818675,0.2951959353658812,Lower
P038,0.42575270000000004,0.2595847873886632,Lower
P039,0.46962780000000004,0.23071266926984269,Lower
P040,0.5135062,0.203426205235351,Lower
P041,0.5573662,0.177890567585639,Lower
P042,0.6012075,0.15493161782296136,Lower
P043,0.6450502,0.13537521744957262,Lower
P044,0.688901,0.11849460834348878,Lower
P045,0.7328011,0.10329875670200431,Lower
P046,0.7767783,0.09094386862827562,Lower
P047,0.8207965,0.07733367107111995,Lower
P048,0.8647978000000001,0.06289761201170968,Lower
P049,1.0,-0.16203402674235085,Lower
