Point,x/c,Cp,Surface
P001,0.0,-4.7382406462192135,Upper
P002,0.0035626000000000004,-3.759513868991706,Upper
P003,0.0133331,-4.1501735294485105,Upper
P004,0.0366108,-2.1694703497510472,Upper
P005,0.072922,-1.7214286355043689,Upper
P006,0.1135604,-1.352897341767682,Upper
P007,0.1559135,-1.0754188356826275,Upper
P008,0.1991328,-0.8689093984227498,Upper
P009,0.2428443,-0.686704888543985,Upper
P010,0.2868627,-0.5341147949314884,Upper
P011,0.33105179999999995,-0.40319137335344385,Upper
P012,0.3753128,-0.37450034645850716,Upper
P013,0.4195991,-0.34462210465757304,Upper
P014,0.4638793,-0.33525629817692704,Upper
P015,0.508156,-0.3246702985984504,Upper
P016,0.552486,-0.322592672512955,Upper
P017,0.5969223,-0.32803407416544295,Upper
P018,0.6413685,-0.33601479658909206,Upper
P019,0.6857899999999999,-0.33868603012758614,Upper
P020,0.7302401000000001,-0.33743285883792223,Upper
P021,0.7747356999999999,-0.3421487402700785,Upper
P022,0.8193114,-0.3429072386822435,Upper
P023,0.8638589,-0.3363116003155914,Upper
P024,0.908108,-0.33809242267458745,Upper
P025,1.0,-0.27127860602040155,Upper
P026,0.0,-4.743912895214534,Lower
P027,0.0043123,-0.16779304004762982,Lower
P028,0.0147147,1.0211697101169137,Lower
P029,0.039247899999999995,0.9987115614784633,Lower
P030,0.07795060000000001,0.8074710270373853,Lower
P031,0.120143,0.6652360856605324,Lower
P032,0.1632276,0.5551548813211086,Lower
P033,0.2067013,0.48761554444659094,Lower
P034,0.2503792,0.4278590608447228,Lower
P035,0.2941554,0.37558862678900473,Lower
P036,0.3379772,0.32997978748360535,Lower
P037,0.3818675,0.2897793716388607,Lower
P038,0.42575270000000004,0.2524150802917765,Lower
P039,0.46962780000000004,0.21979964856868178,Lower
P040,0.5135062,0.18952566846574853,Lower
P041,0.5573662,0.16093357614631162,Lower
P042,0.6012075,0.13415528437770402,Lower
P043,0.6450502,0.11070778998425576,Lower
P044,0.688901,0.08973365997830204,Lower
P045,0.7328011,0.07021057041301176,Lower
P046,0.7767783,0.052765106933216926,Lower
P047,0.8207965,0.034198384931091216,Lower
P048,0.8647978000000001,0.014147644296468788,Lower
P049,1.0,-0.27127860602040155,Lower
