Point,x/c,Cp,Surface
P001,0.0,-0.9421254711029965,Upper
P002,0.0035626000000000004,-1.2061633364503854,Upper
P003,0.0133331,-1.338361709166019,Upper
P004,0.0366108,-1.2860304678442331,Upper
P005,0.072922,-1.1751038964638894,Upper
P006,0.1135604,-1.0560862104652144,Upper
P007,0.1559135,-0.9656484293280637,Upper
P008,0.1991328,-0.9064332154882624,Upper
P009,0.2428443,-0.8393226398031544,Upper
P010,0.2868627,-0.7760292431920172,Upper
P011,0.33105179999999995,-0.7032744625513798,Upper
P012,0.3753128,-0.6890823865071299,Upper
P013,0.4195991,-0.6452337653497234,Upper
P014,0.4638793,-0.6165233586395168,Upper
P015,0.508156,-0.5793303317649309,Upper
P016,0.552486,-0.45166689829102347,Upper
P017,0.5969223,-0.3406750759863383,Upper
P018,0.6413685,-0.2894204749161853,Upper
P019,0.6857899999999999,-0.239144637711153,Upper
P020,0.7302401000000001,-0.18293096639105524,Upper
P021,0.7747356999999999,-0.13050184868275744,Upper
P022,0.8193114,-0.06035710501577531,Upper
P023,0.8638589,0.005154823022968919,Upper
P024,0.908108,0.06224938182167529,Upper
P025,1.0,0.13966960355272115,Upper
P026,0.0,-0.9313590685866692,Lower
P027,0.0043123,1.0033634635973805,Lower
P028,0.0147147,0.9280638969074294,Lower
P029,0.039247899999999995,0.6238314621657512,Lower
P030,0.07795060000000001,0.42067270922886857,Lower
P031,0.120143,0.32181755885167984,Lower
P032,0.1632276,0.25594675072905804,Lower
P033,0.2067013,0.21412090822623425,Lower
P034,0.2503792,0.18325722101276212,Lower
P035,0.2941554,0.15839661883869682,Lower
P036,0.3379772,0.1385929633010884,Lower
P037,0.3818675,0.12303061784566957,Lower
P038,0.42575270000000004,0.10720726869288523,Lower
P039,0.46962780000000004,0.09875727399067669,Lower
P040,0.5135062,0.09040515567498021,Lower
P041,0.5573662,0.0845978234085975,Lower
P042,0.6012075,0.08117214988067512,Lower
P043,0.6450502,0.08283604845138028,Lower
P044,0.688901,0.0870773585335699,Lower
P045,0.7328011,0.09399395651375604,Lower
P046,0.7767783,0.10528236642481457,Lower
P047,0.8207965,0.11787579482270066,Lower
P048,0.8647978000000001,0.13236150002648672,Lower
P049,1.0,0.13966960355272115,Lower
