Point,x/c,Cp,Surface
P001,0.0,-5.0142664729548105,Upper
P002,0.0035626000000000004,-3.983407814455705,Upper
P003,0.0133331,-4.108283860061988,Upper
P004,0.0366108,-2.298305069081079,Upper
P005,0.072922,-1.8510205541499725,Upper
P006,0.1135604,-1.494640682825489,Upper
P007,0.1559135,-1.2371448627130988,Upper
P008,0.1991328,-1.0433496298983866,Upper
P009,0.2428443,-0.8698227657692995,Upper
P010,0.2868627,-0.7065647595291085,Upper
P011,0.33105179999999995,-0.5462359029162421,Upper
P012,0.3753128,-0.45762070959304496,Upper
P013,0.4195991,-0.37301205426584355,Upper
P014,0.4638793,-0.3229134951226379,Upper
P015,0.508156,-0.28412751385047874,Upper
P016,0.552486,-0.27318528823116295,Upper
P017,0.5969223,-0.2733872985502888,Upper
P018,0.6413685,-0.27426267659983405,Upper
P019,0.6857899999999999,-0.2740943346672292,Upper
P020,0.7302401000000001,-0.274330013372876,Upper
P021,0.7747356999999999,-0.27449835530548083,Upper
P022,0.8193114,-0.27793253073061996,Upper
P023,0.8638589,-0.2675626676821607,Upper
P024,0.908108,-0.26995312312514974,Upper
P025,1.0,-0.21833948658850033,Upper
P026,0.0,-5.022380554106364,Lower
P027,0.0043123,-0.2102254054369462,Lower
P028,0.0147147,1.021431510273234,Lower
P029,0.039247899999999995,1.001567162225861,Lower
P030,0.07795060000000001,0.809960374535012,Lower
P031,0.120143,0.6675430995513025,Lower
P032,0.1632276,0.5569424498299109,Lower
P033,0.2067013,0.48920165614971634,Lower
P034,0.2503792,0.43007996941889026,Lower
P035,0.2941554,0.37863467481484575,Lower
P036,0.3379772,0.33395672590151654,Lower
P037,0.3818675,0.2951707446293574,Lower
P038,0.42575270000000004,0.2586068768675823,Lower
P039,0.46962780000000004,0.22756462449524656,Lower
P040,0.5135062,0.198643480473732,Lower
P041,0.5573662,0.17150676093782896,Lower
P042,0.6012075,0.1462891394336213,Lower
P043,0.6450502,0.12457303012759464,Lower
P044,0.688901,0.10548305497020379,Lower
P045,0.7328011,0.08814383591190346,Lower
P046,0.7767783,0.07289205681790335,Lower
P047,0.8207965,0.056630226128274105,Lower
P048,0.8647978000000001,0.03871864449911726,Lower
P049,1.0,-0.21833948658850033,Lower
