Point,x/c,Cp,Surface
P001,0.0,-4.4193805770527765,Upper
P002,0.0035626000000000004,-2.6129783412885783,Upper
P003,0.0133331,-2.7781448317068493,Upper
P004,0.0366108,-2.3671248163587686,Upper
P005,0.072922,-1.6942642583028626,Upper
P006,0.1135604,-1.4628611666202571,Upper
P007,0.1559135,-1.2901098334115984,Upper
P008,0.1991328,-1.171335118508673,Upper
P009,0.2428443,-1.060341406123473,Upper
P010,0.2868627,-0.9604961049086275,Upper
P011,0.33105179999999995,-0.8539813729643029,Upper
P012,0.3753128,-0.8040260290689907,Upper
P013,0.4195991,-0.727785281710438,Upper
P014,0.4638793,-0.6599794026274026,Upper
P015,0.508156,-0.5747806943870989,Upper
P016,0.552486,-0.48951659957101595,Upper
P017,0.5969223,-0.417329819910774,Upper
P018,0.6413685,-0.3450449603868632,Upper
P019,0.6857899999999999,-0.2718773820899331,Upper
P020,0.7302401000000001,-0.2017175862788465,Upper
P021,0.7747356999999999,-0.14054844463740052,Upper
P022,0.8193114,-0.07803887819248082,Upper
P023,0.8638589,-0.017196669429930835,Upper
P024,0.908108,0.02667772291791552,Upper
P025,1.0,0.08689875921056305,Upper
P026,0.0,-4.42650771381271,Lower
P027,0.0043123,0.39627534250987007,Lower
P028,0.0147147,1.0691032072778863,Lower
P029,0.039247899999999995,0.9006346947827656,Lower
P030,0.07795060000000001,0.6868205919847662,Lower
P031,0.120143,0.5437220708919767,Lower
P032,0.1632276,0.45316166343777825,Lower
P033,0.2067013,0.3945099049638316,Lower
P034,0.2503792,0.34707194423601856,Lower
P035,0.2941554,0.30659765382869086,Lower
P036,0.3379772,0.2727274075750628,Lower
P037,0.3818675,0.24493811286890083,Lower
P038,0.42575270000000004,0.21901233557244612,Lower
P039,0.46962780000000004,0.1987424970808927,Lower
P040,0.5135062,0.1809246551810594,Lower
P041,0.5573662,0.16575496960028394,Lower
P042,0.6012075,0.1532334403385662,Lower
P043,0.6450502,0.1445697190478216,Lower
P044,0.688901,0.13950225942493324,Lower
P045,0.7328011,0.13724642256055067,Lower
P046,0.7767783,0.1390772466823684,Lower
P047,0.8207965,0.14231388218343904,Lower
P048,0.8647978000000001,0.147577501533665,Lower
P049,1.0,0.08689875921056305,Lower
