Point,x/c,Cp,Surface
P001,0.0,-5.247900612822696,Upper
P002,0.0035626000000000004,-3.772830476046604,Upper
P003,0.0133331,-3.6948824180676065,Upper
P004,0.0366108,-2.3969191998840627,Upper
P005,0.072922,-1.9484387769964802,Upper
P006,0.1135604,-1.6312289252125332,Upper
P007,0.1559135,-1.4026053667846659,Upper
P008,0.1991328,-1.2492374734317193,Upper
P009,0.2428443,-1.113435802074882,Upper
P010,0.2868627,-0.9882395320353218,Upper
P011,0.33105179999999995,-0.8625835851584801,Upper
P012,0.3753128,-0.797210972085109,Upper
P013,0.4195991,-0.7045204212533025,Upper
P014,0.4638793,-0.6215159180642104,Upper
P015,0.508156,-0.5263299786871622,Upper
P016,0.552486,-0.43373793003477307,Upper
P017,0.5969223,-0.35496902056063073,Upper
P018,0.6413685,-0.2856234862507563,Upper
P019,0.6857899999999999,-0.22291043202165592,Upper
P020,0.7302401000000001,-0.16827455650478518,Upper
P021,0.7747356999999999,-0.13015421307023775,Upper
P022,0.8193114,-0.1009647339028711,Upper
P023,0.8638589,-0.06593079209006997,Upper
P024,0.908108,-0.0533881812442499,Upper
P025,1.0,-0.020258614900185844,Upper
P026,0.0,-5.2597865424724,Lower
P027,0.0043123,-0.08504021489705241,Lower
P028,0.0147147,1.0458961410543273,Lower
P029,0.039247899999999995,0.9810160388780431,Lower
P030,0.07795060000000001,0.7776418724408453,Lower
P031,0.120143,0.6363240790366316,Lower
P032,0.1632276,0.5302700658638596,Lower
P033,0.2067013,0.4658168064650512,Lower
P034,0.2503792,0.4110167606491514,Lower
P035,0.2941554,0.3640968891866464,Lower
P036,0.3379772,0.3242035065225851,Lower
P037,0.3818675,0.29012175244415256,Lower
P038,0.42575270000000004,0.2585353869109616,Lower
P039,0.46962780000000004,0.2331546586810692,Lower
P040,0.5135062,0.2100394805777777,Lower
P041,0.5573662,0.18866450764419426,Lower
P042,0.6012075,0.170572940691192,Lower
P043,0.6450502,0.15563344347954763,Lower
P044,0.688901,0.1443056928465426,Lower
P045,0.7328011,0.13540766263916762,Lower
P046,0.7767783,0.13015421307023775,Lower
P047,0.8207965,0.1256231128170357,Lower
P048,0.8647978000000001,0.12119051474325113,Lower
P049,1.0,-0.020258614900185844,Lower
