Point,x/c,Cp,Surface
P001,0.0,0.40355110250388404,Upper
P002,0.0035626000000000004,-0.43657313543201703,Upper
P003,0.0133331,-0.6786243055812606,Upper
P004,0.0366108,-0.8392299602136748,Upper
P005,0.072922,-0.8549626238454332,Upper
P006,0.1135604,-0.8111761368534656,Upper
P007,0.1559135,-0.7634482036042783,Upper
P008,0.1991328,-0.7368517217173267,Upper
P009,0.2428443,-0.7002194565031691,Upper
P010,0.2868627,-0.651696609723114,Upper
P011,0.33105179999999995,-0.5927405228504193,Upper
P012,0.3753128,-0.5772397089984973,Upper
P013,0.4195991,-0.5366659975271203,Upper
P014,0.4638793,-0.5156007889591236,Upper
P015,0.508156,-0.4773124538889916,Upper
P016,0.552486,-0.4491923877345433,Upper
P017,0.5969223,-0.4270341730616035,Upper
P018,0.6413685,-0.4131231862714171,Upper
P019,0.6857899999999999,-0.2208203545956496,Upper
P020,0.7302401000000001,-0.12456957456640741,Upper
P021,0.7747356999999999,-0.08740736699833798,Upper
P022,0.8193114,-0.03265769755981859,Upper
P023,0.8638589,0.02520538320793301,Upper
P024,0.908108,0.07061481865875581,Upper
P025,1.0,0.14795328093276838,Upper
P026,0.0,0.40547214353681454,Lower
P027,0.0043123,1.0562413541405828,Lower
P028,0.0147147,0.7115469743180353,Lower
P029,0.039247899999999995,0.4087180404545247,Lower
P030,0.07795060000000001,0.24645631596613599,Lower
P031,0.120143,0.17468224840819802,Lower
P032,0.1632276,0.13092888281334977,Lower
P033,0.2067013,0.10181517474531676,Lower
P034,0.2503792,0.08296909978432612,Lower
P035,0.2941554,0.06803134968343547,Lower
P036,0.3379772,0.05693568164840584,Lower
P037,0.3818675,0.04868845376565246,Lower
P038,0.42575270000000004,0.040441225882899084,Lower
P039,0.46962780000000004,0.0380564852902957,Lower
P040,0.5135062,0.0353405307264974,Lower
P041,0.5573662,0.03543989491785587,Lower
P042,0.6012075,0.037725271319100785,Lower
P043,0.6450502,0.04434955074299907,Lower
P044,0.688901,0.05415348429036856,Lower
P045,0.7328011,0.06627591563610243,Lower
P046,0.7767783,0.08257164301889222,Lower
P047,0.8207965,0.09919858437287694,Lower
P048,0.8647978000000001,0.11718350300876082,Lower
P049,1.0,0.14795328093276838,Lower
