Point,x/c,Cp,Surface
P001,0.0,-1.3961207577840515,Upper
P002,0.0035626000000000004,-0.87499782135762,Upper
P003,0.0133331,-1.07706659136628,Upper
P004,0.0366108,-1.0912188716977564,Upper
P005,0.072922,-1.0755393668700775,Upper
P006,0.1135604,-1.0178781575578986,Upper
P007,0.1559135,-0.9760322063619499,Upper
P008,0.1991328,-0.9839398354200652,Upper
P009,0.2428443,-0.9508160330135399,Upper
P010,0.2868627,-0.9156219929566066,Upper
P011,0.33105179999999995,-0.8613885541803489,Upper
P012,0.3753128,-0.8537184933771985,Upper
P013,0.4195991,-0.8121440487583527,Upper
P014,0.4638793,-0.7788844930632759,Upper
P015,0.508156,-0.7309635822046552,Upper
P016,0.552486,-0.6980434097309568,Upper
P017,0.5969223,-0.6651911139015341,Upper
P018,0.6413685,-0.6313546067301142,Upper
P019,0.6857899999999999,-0.6035930592213665,Upper
P020,0.7302401000000001,-0.5702656268820142,Upper
P021,0.7747356999999999,-0.5456942816542227,Upper
P022,0.8193114,-0.5160321881057565,Upper
P023,0.8638589,-0.47727462422435074,Upper
P024,0.908108,-0.4485967420178816,Upper
P025,1.0,-0.3326294952729049,Upper
P026,0.0,-1.3915390842954438,Lower
P027,0.0043123,0.7326604983115469,Lower
P028,0.0147147,1.0917618848519617,Lower
P029,0.039247899999999995,0.9271949608056077,Lower
P030,0.07795060000000001,0.7351719341497466,Lower
P031,0.120143,0.6009798084167535,Lower
P032,0.1632276,0.5039501454246877,Lower
P033,0.2067013,0.4396709632956314,Lower
P034,0.2503792,0.3842157449224116,Lower
P035,0.2941554,0.3350730544668289,Lower
P036,0.3379772,0.2915641254861265,Lower
P037,0.3818675,0.2534174514032018,Lower
P038,0.42575270000000004,0.21499927074317443,Lower
P039,0.46962780000000004,0.18425115088629737,Lower
P040,0.5135062,0.15391029089507435,Lower
P041,0.5573662,0.12479121050081332,Lower
P042,0.6012075,0.09767449111268445,Lower
P043,0.6450502,0.07452855541468209,Lower
P044,0.688901,0.053418919044949734,Lower
P045,0.7328011,0.03383650717141987,Lower
P046,0.7767783,0.01635827127043569,Lower
P047,0.8207965,-0.002409620871786169,Lower
P048,0.8647978000000001,-0.02192415610104036,Lower
P049,1.0,-0.3326294952729049,Lower
