Point,x/c,Cp,Surface
P001,0.0,-1.2634260783601923,Upper
P002,0.0035626000000000004,-0.6269487369713496,Upper
P003,0.0133331,-0.7635588339884641,Upper
P004,0.0366108,-0.7764308083770077,Upper
P005,0.072922,-0.7847557996049229,Upper
P006,0.1135604,-0.7483799343198959,Upper
P007,0.1559135,-0.7304594712750663,Upper
P008,0.1991328,-0.7505531248010786,Upper
P009,0.2428443,-0.7425624705702684,Upper
P010,0.2868627,-0.7330004324530646,Upper
P011,0.33105179999999995,-0.7008372133315608,Upper
P012,0.3753128,-0.7289215210883833,Upper
P013,0.4195991,-0.7073902184748194,Upper
P014,0.4638793,-0.7071227488771353,Upper
P015,0.508156,-0.6834516894820992,Upper
P016,0.552486,-0.6655980938366909,Upper
P017,0.5969223,-0.6529601553461207,Upper
P018,0.6413685,-0.6400213135581562,Upper
P019,0.6857899999999999,-0.6278180131638226,Upper
P020,0.7302401000000001,-0.6151800746732525,Upper
P021,0.7747356999999999,-0.5994328021096056,Upper
P022,0.8193114,-0.5784030049916994,Upper
P023,0.8638589,-0.551254840826771,Upper
P024,0.908108,-0.5259789638456308,Upper
P025,1.0,-0.3917092258082514,Upper
P026,0.0,-1.2550676534325664,Lower
P027,0.0043123,0.8008374091656748,Lower
P028,0.0147147,1.0889355995710779,Lower
P029,0.039247899999999995,0.9089954277291515,Lower
P030,0.07795060000000001,0.7179552675833383,Lower
P031,0.120143,0.5856246841291679,Lower
P032,0.1632276,0.4893356289629198,Lower
P033,0.2067013,0.4252432266178858,Lower
P034,0.2503792,0.3695092492004775,Lower
P035,0.2941554,0.31965960293211776,Lower
P036,0.3379772,0.27515934861743846,Lower
P037,0.3818675,0.23590818515730813,Lower
P038,0.42575270000000004,0.1959549140032572,Lower
P039,0.46962780000000004,0.16375826118204295,Lower
P040,0.5135062,0.13169534315967074,Lower
P041,0.5573662,0.10060200242890309,Lower
P042,0.6012075,0.07118034668366056,Lower
P043,0.6450502,0.0457707349036784,Lower
P044,0.688901,0.02206624180893188,Lower
P045,0.7328011,-0.0005015054956575428,Lower
P046,0.7767783,-0.02062859272138026,Lower
P047,0.8207965,-0.04282856932915416,Lower
P048,0.8647978000000001,-0.06716830271840023,Lower
P049,1.0,-0.3917092258082514,Lower
