Point,x/c,Cp,Surface
P001,0.0,-1.6809704981870872,Upper
P002,0.0035626000000000004,-1.272710162289183,Upper
P003,0.0133331,-1.5763516730891405,Upper
P004,0.0366108,-1.5244650653619336,Upper
P005,0.072922,-1.4042870228229731,Upper
P006,0.1135604,-1.2896900039313328,Upper
P007,0.1559135,-1.1915316365099808,Upper
P008,0.1991328,-1.1396788531685154,Upper
P009,0.2428443,-1.0563017423161267,Upper
P010,0.2868627,-0.9742099581219084,Upper
P011,0.33105179999999995,-0.890562252183589,Upper
P012,0.3753128,-0.8538289692684999,Upper
P013,0.4195991,-0.7936892114204077,Upper
P014,0.4638793,-0.7436967692947156,Upper
P015,0.508156,-0.6855864745911034,Upper
P016,0.552486,-0.6411412317269903,Upper
P017,0.5969223,-0.5993004665649598,Upper
P018,0.6413685,-0.5599288815620468,Upper
P019,0.6857899999999999,-0.5283030808938993,Upper
P020,0.7302401000000001,-0.4892359153626582,Upper
P021,0.7747356999999999,-0.4616013922119882,Upper
P022,0.8193114,-0.42909615751456603,Upper
P023,0.8638589,-0.3896569237401703,Upper
P024,0.908108,-0.36293565900451624,Upper
P025,1.0,-0.2667729303419031,Upper
P026,0.0,-1.679955766614847,Lower
P027,0.0043123,0.6088727677297574,Lower
P028,0.0147147,1.0888408013992903,Lower
P029,0.039247899999999995,0.9495519809164759,Lower
P030,0.07795060000000001,0.7588162697210921,Lower
P031,0.120143,0.6246687558709605,Lower
P032,0.1632276,0.5235338425043712,Lower
P033,0.2067013,0.45953810468176687,Lower
P034,0.2503792,0.40409993645172,Lower
P035,0.2941554,0.3549869283553027,Lower
P036,0.3379772,0.31213143162103224,Lower
P037,0.3818675,0.2741128220477726,Lower
P038,0.42575270000000004,0.23670305141785694,Lower
P039,0.46962780000000004,0.20673464565103478,Lower
P040,0.5135062,0.17764567391348737,Lower
P041,0.5573662,0.15011262392004132,Lower
P042,0.6012075,0.12423696882792061,Lower
P043,0.6450502,0.10269083511069071,Lower
P044,0.688901,0.08344475962387154,Lower
P045,0.7328011,0.06568695710967108,Lower
P046,0.7767783,0.05056745668329467,Lower
P047,0.8207965,0.03460234661338492,Lower
P048,0.8647978000000001,0.019178426715336507,Lower
P049,1.0,-0.2667729303419031,Lower
