Point,x/c,Cp,Surface
P001,0.0,0.34711535164269136,Upper
P002,0.0035626000000000004,0.8584019440690086,Upper
P003,0.0133331,0.8141444875371749,Upper
P004,0.0366108,0.40373299873746943,Upper
P005,0.072922,0.08060704920888,Upper
P006,0.1135604,-0.04007094037341685,Upper
P007,0.1559135,-0.11021169918625513,Upper
P008,0.1991328,-0.1937426644422833,Upper
P009,0.2428443,-0.2137449083102741,Upper
P010,0.2868627,-0.22769996217166308,Upper
P011,0.33105179999999995,-0.22660349365398252,Upper
P012,0.3753128,-0.2568062173682743,Upper
P013,0.4195991,-0.254546827695478,Upper
P014,0.4638793,-0.25102483791141317,Upper
P015,0.508156,-0.22514153563040845,Upper
P016,0.552486,-0.1955368856530333,Upper
P017,0.5969223,-0.16679611996231558,Upper
P018,0.6413685,-0.1308120167911626,Upper
P019,0.6857899999999999,-0.11300270995853291,Upper
P020,0.7302401000000001,-0.08728553927111614,Upper
P021,0.7747356999999999,-0.08389645476192167,Upper
P022,0.8193114,-0.06937655348233364,Upper
P023,0.8638589,-0.06206676336446324,Upper
P024,0.908108,0.06007318424140767,Upper
P025,1.0,0.09918056137201434,Upper
P026,0.0,0.34964055186522847,Lower
P027,0.0043123,-1.334003470192631,Lower
P028,0.0147147,-1.0118743102255694,Lower
P029,0.039247899999999995,-0.7417111127328228,Lower
P030,0.07795060000000001,-0.5664422814975211,Lower
P031,0.120143,-0.4619455091306919,Lower
P032,0.1632276,-0.3919708819114416,Lower
P033,0.2067013,-0.3479792359293488,Lower
P034,0.2503792,-0.31249352753895976,Lower
P035,0.2941554,-0.28215789854979756,Lower
P036,0.3379772,-0.25667331209340394,Lower
P037,0.3818675,-0.23411264168415843,Lower
P038,0.42575270000000004,-0.2160707506205056,Lower
P039,0.46962780000000004,-0.19523784878457495,Lower
P040,0.5135062,-0.17513592596043134,Lower
P041,0.5573662,-0.15064812906556552,Lower
P042,0.6012075,-0.12051185798870889,Lower
P043,0.6450502,-0.08801651828290318,Lower
P044,0.688901,-0.05611925231401414,Lower
P045,0.7328011,-0.02541813381895845,Lower
P046,0.7767783,0.006711716380953734,Lower
P047,0.8207965,0.04050288251674555,Lower
P048,0.8647978000000001,0.07668634360020404,Lower
P049,1.0,0.09918056137201434,Lower
