Point,x/c,Cp,Surface
P001,0.0,0.7988713764994855,Upper
P002,0.0035626000000000004,-0.11285184081650619,Upper
P003,0.0133331,-0.3810927441263491,Upper
P004,0.0366108,-0.6189264371957992,Upper
P005,0.072922,-0.7029160827787219,Upper
P006,0.1135604,-0.6867756068565242,Upper
P007,0.1559135,-0.6642249622890546,Upper
P008,0.1991328,-0.6522921868109328,Upper
P009,0.2428443,-0.6306948493753242,Upper
P010,0.2868627,-0.5898998786636188,Upper
P011,0.33105179999999995,-0.5343779563976477,Upper
P012,0.3753128,-0.5330959226685933,Upper
P013,0.4195991,-0.4926296785540816,Upper
P014,0.4638793,-0.4748126969861973,Upper
P015,0.508156,-0.4326370745662797,Upper
P016,0.552486,-0.3989097256942332,Upper
P017,0.5969223,-0.37103371025223,Upper
P018,0.6413685,-0.3639660884125711,Upper
P019,0.6857899999999999,-0.3554849422049805,Upper
P020,0.7302401000000001,-0.1449026840428661,Upper
P021,0.7747356999999999,-0.06041994856415333,Upper
P022,0.8193114,-0.01604185794303962,Upper
P023,0.8638589,0.03254393312215006,Upper
P024,0.908108,0.07462093756290972,Upper
P025,1.0,0.1415168000917737,Upper
P026,0.0,0.8011724626798395,Lower
P027,0.0043123,0.9797367502753134,Lower
P028,0.0147147,0.5368105332168792,Lower
P029,0.039247899999999995,0.27718226675350427,Lower
P030,0.07795060000000001,0.14243723456391533,Lower
P031,0.120143,0.08980810635324642,Lower
P032,0.1632276,0.05838184366155404,Lower
P033,0.2067013,0.03934857368405416,Lower
P034,0.2503792,0.026922708310142315,Lower
P035,0.2941554,0.018342944123393667,Lower
P036,0.3379772,0.012162884096157092,Lower
P037,0.3818675,0.007922310992361781,Lower
P038,0.42575270000000004,0.0029256667150215705,Lower
P039,0.46962780000000004,0.0037803558677245008,Lower
P040,0.5135062,0.005259625555094958,Lower
P041,0.5573662,0.008382528228432589,Lower
P042,0.6012075,0.013675026443246892,Lower
P043,0.6450502,0.023405333720172564,Lower
P044,0.688901,0.03592981707324243,Lower
P045,0.7328011,0.050623895967788976,Lower
P046,0.7767783,0.0691640760494987,Lower
P047,0.8207965,0.08727691155485696,Lower
P048,0.8647978000000001,0.10502814780330244,Lower
P049,1.0,0.1415168000917737,Lower
