Point,x/c,Cp,Surface
P001,0.0,-1.2907765451618567,Upper
P002,0.0035626000000000004,-0.6853376719170965,Upper
P003,0.0133331,-0.82718161846398,Upper
P004,0.0366108,-0.84395632408743,Upper
P005,0.072922,-0.8411268556690168,Upper
P006,0.1135604,-0.804680607708027,Upper
P007,0.1559135,-0.7790469712031164,Upper
P008,0.1991328,-0.7974048317749642,Upper
P009,0.2428443,-0.7904658973202842,Upper
P010,0.2868627,-0.7799901273425875,Upper
P011,0.33105179999999995,-0.7449249294429661,Upper
P012,0.3753128,-0.7724448782268188,Upper
P013,0.4195991,-0.750112288210057,Upper
P014,0.4638793,-0.7425670390942883,Upper
P015,0.508156,-0.714440775649347,Upper
P016,0.552486,-0.6945671284247777,Upper
P017,0.5969223,-0.6780955801318721,Upper
P018,0.6413685,-0.660647191551657,Upper
P019,0.6857899999999999,-0.6394598625613959,Upper
P020,0.7302401000000001,-0.618845164084385,Upper
P021,0.7747356999999999,-0.5968157313981675,Upper
P022,0.8193114,-0.5737084059811258,Upper
P023,0.8638589,-0.542180043604521,Upper
P024,0.908108,-0.5129085191330791,Upper
P025,1.0,-0.3792161363630528,Upper
P026,0.0,-1.2858586595774717,Lower
P027,0.0043123,0.7842006458223691,Lower
P028,0.0147147,1.0908274435939864,Lower
P029,0.039247899999999995,0.9140530357388347,Lower
P030,0.07795060000000001,0.7240407577832492,Lower
P031,0.120143,0.5896073237607813,Lower
P032,0.1632276,0.4937085548652749,Lower
P033,0.2067013,0.4297423581204323,Lower
P034,0.2503792,0.3740287775959618,Lower
P035,0.2941554,0.3246141327172446,Lower
P036,0.3379772,0.2804205307534566,Lower
P037,0.3818675,0.2414142875567596,Lower
P038,0.42575270000000004,0.20220593947303303,Lower
P039,0.46962780000000004,0.17020599902669264,Lower
P040,0.5135062,0.1388123732414408,Lower
P041,0.5573662,0.10829453529998354,Lower
P042,0.6012075,0.0796293254896302,Lower
P043,0.6450502,0.054871476828514204,Lower
P044,0.688901,0.03199994044634039,Lower
P045,0.7328011,0.010307349238505431,Lower
P046,0.7767783,-0.009061035768490069,Lower
P047,0.8207965,-0.030349417202265992,Lower
P048,0.8647978000000001,-0.0514356937490124,Lower
P049,1.0,-0.3792161363630528,Lower
